"from","to","weight"
"A. B. Siddique","Fuad T. Jamour",1
"A. B. Siddique","Samet Oymak",1
"A. B. Siddique","Vagelis Hristidis",2
"A. B. Siddique","Zhijia Zhao 0001",1
"A. K. M. Shahariar Azad Rabby","Fuad Rahman",1
"A. K. M. Shahariar Azad Rabby","Jebun Nahar",1
"A. K. M. Shahariar Azad Rabby","Md. Majedul Islam",1
"A. K. M. Shahariar Azad Rabby","Nazmul Hasan",1
"A. K. Singh","Navneet Goyal",1
"A. Murat Ozbayoglu","Hakki Özgür Ünver",1
"A. Stephen McGough","David S. Wall",1
"Aabhas Chauhan","Jiawei Han 0001",1
"Aabhas Chauhan","Qi Li",1
"Aabid Shamji","Dingwen Tao",1
"Aabid Shamji","Guanpeng Li",1
"Aabid Shamji","Jiannan Tian",1
"Aamir Manaswala","Bradley C. Turnbull",1
"Aamir Manaswala","Lynn Yang",1
"Aamir Manaswala","Qing Zhang",1
"Aamir Manaswala","Thomas Legrand",1
"Aamir Mansawala","Bradley C. Turnbull",1
"Aamir Mansawala","Junshuo Liao",1
"Aamir Mansawala","Shulin Yang",1
"Aaron Choate","Ruizhu Huang",1
"Aaron D. Vose","Amar G. Chittiboyina",1
"Aaron D. Vose","Charles R. Yates",1
"Aaron D. Vose","Ikhlas A. Khan",1
"Aaron D. Vose","Pankaj Pandey",1
"Aaron D. Vose","Sreenivas R. Sukumar",1
"Aaron D. Vose","Yuri K. Peterson",1
"Aaron M. Sens","Philip A. Wilsey",1
"Aaron Page","David Followell",1
"Aarzoo Dhiman","Durga Toshniwal",1
"Aasish Pappu","Brian Brost",1
"Aasish Pappu","Hugo Galvão",1
"Aasish Pappu","Judith Bütepage",1
"Aasish Pappu","Mounia Lalmas",1
"Abbas Mazloumi","Chengshuo Xu",1
"Abbas Mazloumi","Rajiv Gupta 0001",1
"Abbas Mazloumi","Zhijia Zhao 0001",1
"Abdül Kadir Görür","Roya Choupani",1
"Abdul Rashid Mussah","Yaw Adu-Gyamfi",1
"Abdulaziz Alajaji","Aidan Murphy",1
"Abdulaziz Alajaji","Elke A. Rundensteiner",2
"Abdulaziz Alajaji","Emmanuel Agu",2
"Abdulaziz Alajaji","Hamid Mansoor",1
