"from","to","weight"
"A. Aziz Altowayan","Ashraf Elnagar",1
"A. Murat Ozbayoglu","Erdogan Dogdu",1
"A. Murat Ozbayoglu","Hakki Özgür Ünver",1
"A. P. Giri","Abhijin Adiga",1
"A. P. Giri","G. Norton",1
"A. P. Giri","K. S. Nitin",1
"A. P. Giri","Luke A. Colavito",1
"A. P. Giri","R. Asokan",1
"A. P. Giri","Rangaswamy Muniappan",1
"A. P. Giri","V. Sridhar",1
"Aadharsh Kannan","R. Preston McAfee",1
"Aaditya Prakash","Joey Liu",1
"Aaditya Prakash","Oladimeji Farri",1
"Aakanksha Singh","Namrata Walanj",1
"Aaron Archer","Peter Likarish",1
"Aaron Archer","Sergei Vassilvitskii",1
"Aaron Archer","Silvio Lattanzi",1
"Aaron Harwood","Lucia Falzon",1
"Aaron Harwood","Trevor Cohn",1
"Aaron Palmer","Jiangwen Sun",1
"Aaron Palmer","Jin Lu",1
"Aaron Palmer","Jinbo Bi",1
"Aaron Palmer","Ko-Shin Chen",1
"Aasish Pappu","Joel R. Tetreault",1
"Abdalghani Abujabal","Gerhard Weikum",1
"Abdalghani Abujabal","Mirek Riedewald",1
"Abdalghani Abujabal","Mohamed Yahya",1
"Abdeltawab M. Hendawi","Aqeel Rustum",1
"Abdeltawab M. Hendawi","John A. Stankovic",1
"Abdeltawab M. Hendawi","Mohamed H. Ali",1
"Abhijnan Chakraborty","Fabrício Benevenuto",1
"Abhijnan Chakraborty","Johnnatan Messias",1
"Abhijnan Chakraborty","Krishna P. Gummadi",2
"Abhijnan Chakraborty","Niloy Ganguly",2
"Abhijnan Chakraborty","Saptarshi Ghosh 0001",2
"Abhilash Dighe","Christos Faloutsos",1
"Abhilash Dighe","Jean Bolot",1
"Abhilash Dighe","Smriti Bhagat",1
"Abhilash Dighe","Stratis Ioannidis",1
"Abhilash Dighe","Udi Weinsberg",1
"Abhinav Maurya","Rahul Telang",1
"Abhirup Ghosh","Christopher Lucas 0001",1
"Abhirup Ghosh","Rik Sarkar",1
"Abhishek Dubey","Jules White",1
"Abhishek Gupta","Shakti Sinha",1
"Abhishek Kumar","Alex C. Snoeren",1
"Abhishek Kumar","Elie Bursztein",1
"Abhishek Kumar","Kirill Levchenko",1
"Abhishek Kumar Singh","Manish Gupta 0001",1
"Abhishek Kumar Singh","Vasudeva Varma",1
"Abolfazl Asudeh","Gautam Das 0001",1
"Abolfazl Asudeh","Nick Koudas",1
"Achla Marathe","A. P. Giri",1
"Achla Marathe","Abhijin Adiga",1
"Achla Marathe","G. Norton",1
"Achla Marathe","K. S. Nitin",1
"Achla Marathe","Lalit P. Sah",1
"Achla Marathe","Luke A. Colavito",1
"Achla Marathe","Madhav Marathe",1
"Achla Marathe","R. Asokan",1
"Achla Marathe","Rangaswamy Muniappan",1
"Achla Marathe","Stephen G. Eubank",1
"Achla Marathe","V. Sridhar",1
"Adam Barker","Blesson Varghese",1
"Adam Bates 0001","Alin Dobra",1
"Adam Bates 0001","Bradley Reaves",1
"Adam Bates 0001","Kevin R. B. Butler",1
"Adam Bates 0001","Nabil Schear",1
"Adam Bates 0001","Patrick T. Cable II",1
"Adam Bates 0001","Thomas Moyer",1
"Adam Bates 0001","Wajih Ul Hassan",1
"Adam Dalton 0001","Bonnie J. Dorr",1
"Adam Dalton 0001","Kristy Hollingshead",1
"Adam Dalton 0001","Leon Liang",1
"Adam Fourney","Eric Horvitz",1
"Adam Fourney","Gireeja Ranade",1
"Adam Fourney","Markus Mobius",1
"Adam Fourney","Meredith Ringel Morris",1
"Adam Fourney","Miklós Z. Rácz",1
"Adam Fourney","Ryen W. White",1
"Adam Gray","Aakanksha Singh",1
"Adam Gray","Leigh Plummer",1
"Adam Gray","Mayanka Jha",1
"Adam Gray","Namrata Walanj",1
