"from","to","weight"
"Adam Tsakalidis","Alexandra I. Cristea",1
"Adam Tsakalidis","Maria Liakata",1
"Adam Tsakalidis","Nikolaos Aletras",1
"Adele Yunlan Sun","Weijia Xu",1
"Adish Singla","Adrian Weller",1
"Adish Singla","Muhammad Bilal Zafar",1
"Adit Krishnan","Aravind Sankar",1
"Adit Krishnan","Ashish Sharma",2
"Adit Krishnan","Hari Sundaram",2
"Aditya Arora","Jihane Zouaoui",1
"Aditya Pal","Deepayan Chakrabarti",1
"Aditya Subramanian","Abhinandan Krishnan",1
"Aditya Subramanian","Alessandro Magnani",1
"Aditya Subramanian","Shreyansh Gandhi",1
"Aditya Subramanian","Venkatesh Kandaswamy",1
"Adolfo De Unánue","Andrea Navarrete Rivera",1
"Adolfo De Unánue","Crystal Cody",1
"Adolfo De Unánue","Hareem Naveed",1
"Adolfo De Unánue","Jason Bennett",1
"Adolfo De Unánue","Lauren Haynes",1
"Adolfo De Unánue","Michael Defoe",1
"Adolfo De Unánue","Rayid Ghani",1
"Adolfo De Unánue","Sun-Joo Lee",1
"Adria Finch","Andrew Maxwell",1
"Adria Finch","Joe Zuckerbraun",1
"Adria Finch","Rayid Ghani",1
"Adrian Schüpbach","Martina Zitterbart",1
"Adrian Weller","Muhammad Bilal Zafar",1
"Adriano Fazzone","Evimaria Terzi",1
"Adriano Fazzone","Stefano Leonardi",1
"Adriano Paterlini","Alexander Csoka Roque",1
"Adriano Paterlini","Moises Ramalho Miguel",1
"Adriano Veloso","Nivio Ziviani",1
"Adwait Ratnaparkhi","Aldi Tjahjadi",1
"Adwait Ratnaparkhi","Reena Somvanshi",1
"Agma J. M. Traina","Caetano Traina Jr.",1
"Agma J. M. Traina","Klemens Böhm",1
"Agma J. M. Traina","Marcos V. N. Bedo",1
"Agus Trisnajaya Kwee","Ee-Peng Lim",1
"Agus Trisnajaya Kwee","Meng-Fen Chiang",1
"Agus Trisnajaya Kwee","Philips Kokoh Prasetyo",1
"Ahmad O. Aseeri","Bipana Thapaliya",1
"Ahmad O. Aseeri","Mohammed Saeed Alkatheiri",2
"Ahmad O. Aseeri","Yu Zhuang",2
"Ahmed Abdelhadi","Charles Clancy",1
"Ahmed El Kholy","Imed Zitouni",2
"Ahmed El Kholy","Paul A. Crook",2
"Ahmed K. Elmagarmid","Mourad Ouzzani",1
"Ahmed K. Elmagarmid","Nan Tang 0001",1
"Ahmed K. Elmagarmid","Raul Castro Fernandez",1
"Ahmed K. Farahat","Chetan Gupta 0001",1
"Ahmed K. Farahat","Chi Zhang",1
"Ahmed K. Farahat","Kosta Ristovski",1
"Ahmed Khoumsi","Yahya Benkaouz",1
"Ahmed Lasisi","Dominique Guillot",1
"Ahmed Lasisi","Emmanuel Nii Martey",1
"Ahmed Lasisi","Nii O. Attoh-Okine",1
"Ahmed Navivala","Ebrahim Bagheri",1
"Ahmer Arif","Daniel Scarnecchia",1
"Ahmer Arif","Katherine Van Koevering",1
"Ahmer Arif","Katya Yefimova",1
"Ahmer Arif","Tom Wilson 0003",1
"Ahmet Erdem Sariyüce","Ali Pinar",1
"Ahmet Erdem Sariyüce","Srikanta Tirthapura",1
"Ahmet Erdem Sariyüce","Sucheta Soundarajan",1
"Ahmet Erdem Sariyüce","Tina Eliassi-Rad",1
"Ahmet Furkan Aydogan","Bing Zhou 0002",1
"Ahmet Kara 0002","Dan Olteanu",1
"Ahmet Kara 0002","Stijn Vansummeren",1
"Ahmet Soylu","Arild Waaler",1
"Ahmet Soylu","Ian Horrocks",1
"Aiden Chia","Bernard Cheng",1
"Aiden Chia","Shangjing Wu",1
"Aidong Zhang","Aidong Zhang",2
"Aidong Zhang",NA,1
"Aijun An","Gordon Edall",1
"Aijun An","Morteza Zihayat",1
"Ailidani Ailijiang","Murat Demirbas",1
"Ailin Chen","Mei Mei",1
"Ailin Chen","Ying Liu",1
"Aindrila Ghosh","Chad Marston",1
"Aindrila Ghosh","James Miller 0001",1
"Aindrila Ghosh","Jean-François Puget",1
"Aindrila Ghosh","Shaikh Quader",1
"Aishwarya Srivastava","Amy W. Apon",1
"Aishwarya Srivastava","André Luckow",1
"Aishwarya Srivastava","Dung Nguyen",1
"Aishwarya Srivastava","Edward B. Duffy",1
"Aishwarya Srivastava","Ken Kennedy",1
"Aishwarya Srivastava","Marcin Ziolkowski",1
"Aishwarya Srivastava","Siddhant Aggarwal",1
"Aixin Sun","Jialong Han",1
"Aixin Sun","Mohammad Akbari 0001",1
"Aixin Sun","Xiaoyan Zhu",1
"Aixin Sun","Ying Liu 0004",1
"Ajith Muralidharan","Shaunak Chatterjee",1
"Ajith Ramanathan","Alexander Bonomo",1
"Ajith Ramanathan","Ed H. Chi",1
"Ajith Ramanathan","Jennifer Gillenwater",1
"Ajith Ramanathan","Sagar Jain",1
"Akbar Siami Namin","Moitrayee Chatterjee",1
"Akbar Siami Namin","Prerit Datta",1
"Akhilesh Vyas","Akmal Khikmatullaev",1
"Akhilesh Vyas","Christoph Lange 0002",1
"Akhilesh Vyas","Dharmen Punjani",1
"Akhilesh Vyas","Jens Lehmann 0001",1
"Akhilesh Vyas","Maria-Esther Vidal",1
"Akhilesh Vyas","Sören Auer",1
"Akihiro Yamaguchi","Ken Ueno",1
"Akihiro Yamaguchi","Shigeru Maya",1
"Akihiro Yamaguchi","Takeichiro Nishikawa",1
"Akihiro Yamaguchi","Tatsuya Inagi",1
"Akihiro Yoshida","Jun Ozawa",1
"Akihiro Yoshida","Katsuki Fujisawa",1
"Akihiro Yoshida","Nariaki Tateiwa",1
"Akihiro Yoshida","Yuri Nishikawa",1
"Akiomi Nishida","Takehiro Yamamoto",1
"Akira Tanaka","Akihiro Yoshida",1
"Akira Tanaka","Jun Ozawa",1
"Akira Tanaka","Katsuki Fujisawa",1
"Akira Tanaka","Nariaki Tateiwa",1
"Akira Tanaka","Takashi Wakamatsu",1
"Akira Tanaka","Yuri Nishikawa",1
"Akmal Khikmatullaev","Christoph Lange 0002",1
"Akmal Khikmatullaev","Dharmen Punjani",1
"Akmal Khikmatullaev","Jens Lehmann 0001",1
"Akmal Khikmatullaev","Maria-Esther Vidal",1
"Akmal Khikmatullaev","Sören Auer",1
"Akshay Deshmukh","Cyrus Shahabi",1
"Akshay Kumar","Ahmed Abdelhadi",1
"Akshay Kumar","Charles Clancy",1
"Akshay Rangamani","Jayant Kalagnanam",1
"Akshay Rangamani","Shrey Shrivastava",1
"Akshit Bhatnagar","Alison Kwan",1
"Akshit Bhatnagar","Federico Rodríguez",1
"Akshit Bhatnagar","Ilkay Altintas",1
"Akshit Bhatnagar","Namrita Baru",1
"Alain Barrat","Ciro Cattuto",1
"Alain Barrat","Francesco Bonchi",1
"Alain Barrat","Francesco Gullo",1
"Alan Chern","Chris Min",1
"Alan Chern","Faizan Javed",1
"Alan Chern","Valentin Jijkoun",1
"Alan Fern","Alec Theriault",1
"Alan Fern","David W. Archer",1
"Alan Fern","Ryan Wright",1
"Alan Fern","Thomas G. Dietterich",1
"Alan Medlar","Dorota Glowacka",1
"Alan Mislove","Christo Wilson",1
"Alban Siffer","Alexandre Termier",1
"Alban Siffer","Christine Largouët",1
"Alban Siffer","Pierre-Alain Fouque",1
"Albert Bifet","Jesse Read",1
"Albert Bifet","Talel Abdessalem",3
"Albert Bifet","Viktor Losing",1
"Albert Gordo","Viswanath Sivakumar",1
"Alberto H. F. Laender","Adriano Veloso",1
"Alberto H. F. Laender","Nivio Ziviani",1
"Alberto H. F. Laender","Pedro O. S. Vaz de Melo",1
"Albrecht Zimmermann","Bruno Crémilleux",1
"Albrecht Zimmermann","Pascal Bonnet",1
"Albrecht Zimmermann","Ronan Bureau",1
"Alec Theriault","David W. Archer",1
"Alejandro Gómez-Boix","Benoit Baudry",1
"Alejandro Gómez-Boix","Pierre Laperdrix",1
"Alejandro Moreo Fernández","Fabrizio Sebastiani 0001",1
"Aleksandr Fritz","Anthony F. Breitzman",1
"Aleksandr Fritz","Brendan Armstrong",1
"Aleksandr Fritz","Brennan Ringel",1
"Aleksandr Fritz","Jason Snouffer",1
"Aleksandr Fritz","Jean Kirschner",1
"Aleksandr Fritz","Kimberly Davis",1
"Aleksandr Fritz","Matthew Schofield",1
"Aleksandr Fritz","Shen-Shyang Ho",1
"Aleksandr Khvorov","Julian Serdyuk",1
"Aleksey Charapko","Ailidani Ailijiang",1
"Aleksey Charapko","Murat Demirbas",1
"Alessandro D'Anca","Dean N. Williams",1
"Alessandro D'Anca","Fabrizio Antonio",1
"Alessandro D'Anca","Giovanni Aloisio",1
"Alessandro D'Anca","Ian T. Foster",1
"Alessandro Epasto","Mohammad Mahdian",1
"Alessandro Epasto","Song Zuo",1
"Alessandro Epasto","Vahab S. Mirrokni",1
"Alessandro Finamore","Ilias Leontiadis",1
"Alessandro Finamore","Jeremy Blackburn",1
"Alessandro Finamore","Matteo Varvello",1
"Alessandro Finamore","Yan Grunenberger",1
"Alessandro Flammini","Filippo Menczer",1
"Alessandro Flammini","Giovanni Luca Ciampaglia",1
"Alessandro Magnani","Venkatesh Kandaswamy",1
"Alessandro Panconesi","Erisa Terolli",1
"Alessia Antelmi","Delfina Malandrino",1
"Alessia Antelmi","Vittorio Scarano",1
"Alessio Conte","Andrea Marino",2
"Alessio Conte","Daniele De Sensi",1
"Alessio Conte","Gaspare Ferraro",1
"Alessio Conte","Kunihiko Sadakane",1
"Alessio Conte","Luca Versari",1
"Alessio Conte","Roberto Grossi",2
"Alessio Conte","Takeaki Uno",1
"Alessio Conte","Tiziano De Matteis",1
"Alex Beutel","Ed H. Chi",1
"Alex Beutel","Rui Li",1
"Alex Beutel","Sagar Jain",1
"Alex Chojnacki","Arya Farahi",1
"Alex Chojnacki","Eric M. Schwartz",1
"Alex Chojnacki","Jared Webb",1
"Alex Deng","Jiannan Lu",1
"Alex Deng","Ulf Knoblich",1
"Alex Gittens","Bülent Yener",1
"Alex Gittens","Jey Kottalam",1
"Alex Gittens","Kai Rothauge",1
"Alex Gittens","Kristyn J. Maschhoff",1
"Alex Gittens","Lisa Gerhardt",1
"Alex Gittens","Michael F. Ringenburg",1
"Alex Gittens","Michael W. Mahoney",1
"Alex Gittens","Prabhat",1
"Alex Gittens","Shusen Wang",1
"Alex Kaplunovich","Yelena Yesha",1
"Alex Lobzhanidze","Shankar Vishwanath",1
"Alex Morales","ChengXiang Zhai",1
"Alex Morales","Dolores Albarracin",1
"Alex Morales","Kathleen A. Brady",1
"Alex Morales","Lyle Ungar",1
"Alex Morales","Man-pui Sally Chan",1
"Alex Morales","Nupoor Gandhi",1
"Alex Morales","Sophie Lohmann",1
"Alex Morales","Travis Sanchez",1
"Alex Smola","Alex Smola",2
"Alex Smola",NA,1
"Alex V. Samoylov","Mina Sartipi",1
"Alexander Bonomo","Ed H. Chi",1
"Alexander Bonomo","Jennifer Gillenwater",1
"Alexander Bonomo","Sagar Jain",1
"Alexander Borgida","Amélie Marian",1
"Alexander Csoka Roque","Moises Ramalho Miguel",1
"Alexander Dromerick","Peter S. Lum",1
"Alexander Gorovits","Ekta Gujral",1
"Alexander Gorovits","Evangelos E. Papalexakis",1
"Alexander Gorovits","Petko Bogdanov",1
"Alexander Grass","Shreekantha Devasya",1
"Alexander Herzog","Ilya Safro",1
"Alexander Kotov","Fedor Nikolaev",1
"Alexander M. Bronstein","Emmanuel Müller",1
"Alexander Peysakhovich","Dean Eckles",1
"Alexander Robertson","Sharon Goldwater",1
"Alexander Robertson","Walid Magdy",1
"Alexander Shires","Jacob Cohen",1
"Alexander Sim","Kesheng Wu",1
"Alexander Sim","Wilko Kroeger",1
"Alexander Stiemer","Heiko Schuldt",1
"Alexandra I. Cristea","Maria Liakata",1
"Alexandra Olteanu","Carlos Castillo 0001",1
"Alexandra Olteanu","Jeremy Boy",1
"Alexandra Olteanu","Kush R. Varshney",1
"Alexandre Termier","Christine Largouët",1
"Alexandros Labrinidis","Panos K. Chrysanthis",1
"Alexandru Uta","Alexandru Iosup",1
"Alexey Borisov","Ilya Markov",1
"Alexey Borisov","Julia Kiseleva",1
"Alexey Borisov","Maarten de Rijke",1
"Alfan Farizki Wicaksono","Alistair Moffat",1
"Alfonso Lobos Ruiz","Quan Lu",1
"Alfonso Lobos Ruiz","Shengjun Pan",1
"Alfonso Lobos Ruiz","Wenliang Zhao",1
"Alfonso Lobos Ruiz","Yu Sun",1
"Alfredo Cuzzocrea","Carlo Mastroianni",1
"Alfredo Cuzzocrea","Dimitrios Gunopulos",1
"Alfredo Cuzzocrea","Fabio Martinelli",1
"Alfredo Cuzzocrea","Francesco Bonchi",1
"Alfredo Cuzzocrea","Francesco Mercaldo",1
"Alfredo Goñi","José Miguel Blanco",1
"Ali Anwar","Xuejing Duan",1
"Ali Batuhan Yardim","Lucas Maystre",1
"Ali Batuhan Yardim","Matthias Grossglauser",1
"Ali Batuhan Yardim","Victor Kristof",1
"Ali Dasdan","Luca de Alfaro",1
"Ali Hooshmand","Ratnesh Sharma",1
"Ali Pinar","C. Seshadhri",1
"Ali Pinar","Dana Ron",1
"Ali Pinar","Sucheta Soundarajan",1
"Ali Salari","Tristan Glatard",1
"Alican Büyükçakir","Fazli Can",1
"Alican Büyükçakir","Hamed R. Bonab",1
"Alice Hutchings","Richard Clayton",1
"Alicia L. Nobles","Caitlin N. Dreisbach",1
"Alicia L. Nobles","Jessica Keim-Malpass",1
"Alicia L. Nobles","Laura E. Barnes",1
"Alina Campan","Joseph Nolan",1
"Alina Campan","Tobel Atnafu",1
"Alina Campan","Traian Marius Truta",1
"Alina Ene","Evimaria Terzi",1
"Alina Lazar","Alex Sim",1
"Alina Lazar","Kesheng Wu",1
"Alina Oprea","Shobha Vasudevan",1
"Alina Vereshchaka","Wen Dong 0001",1
"Alireza Karduni","Dustin Arendt",1
"Alireza Karduni","Isaac Cho",1
"Alireza Karduni","Ryan Wesslen",1
"Alireza Karduni","Samira Shaikh",1
"Alireza Karduni","Sashank Santhanam",1
"Alireza Karduni","Svitlana Volkova",1
"Alireza Karduni","Wenwen Dou",1
"Alison Kwan","Ilkay Altintas",1
"Alison Kwan","Namrita Baru",1
"Alister Johnson","Alister Johnson",2
"Alister Johnson",NA,1
"Allen McPherson","James Paul Ahrens",1
"Allen McPherson","Li-Ta Lo",1
"Allen McPherson","Timothy Randles",1
"Allen McPherson","Zizhong Chen",1
"Allen Yilun Lin","Brent J. Hecht",2
"Allen Yilun Lin","Eytan Adar",2
"Allen Yilun Lin","Joshua Ford",1
"Alok Singh 0004","Ilkay Altintas",1
"Alok Singh 0004","Malachi Schram",1
"Alok Singh 0004","Nathan R. Tallent",1
"Alok Tripathy","Duen Horng Chau",1
"Alok Tripathy","Fred Hohman",1
"Alok Tripathy","Oded Green",1
"Alvaro A. A. Fernandes","Martin Koehler",1
"Alvaro A. A. Fernandes","Nikolaos Konstantinou 0001",1
"Alvaro A. A. Fernandes","Nurzety A. Azuan",1
"Alvaro A. A. Fernandes","Suzanne M. Embury",1
"Álvaro García-Recuero","Gareth Tyson",1
"Álvaro García-Recuero","Gianluca Stringhini",1
"Álvaro García-Recuero","Steve Uhlig",1
"Alvin E. Roth","Alvin E. Roth",2
"Alvin E. Roth",NA,1
"Aman Ahuja","Chandan K. Reddy",1
"Aman Ahuja","Nikhil Rao",1
"Aman Ahuja","Yifan Sun",1
"Amanuel Alambo","Amit P. Sheth",1
"Amanuel Alambo","Jyotishman Pathak",1
"Amanuel Alambo","Krishnaprasad Thirunarayan",1
"Amanuel Alambo","Raminta Daniulaityte",1
"Ambika Shrestha Chitrakar","Slobodan Petrovic",1
"Ambuj K. Singh","Ananthram Swami",1
"Amen Ptah","Deepak Pandita",1
"Amen Ptah","Henry A. Kautz",1
"Amin Saberi","Sharad Goel",1
"Aminata Maiga","Lamine Faty",1
"Aminata Maiga","Reine Marie Ndéla Marone",1
"Amine Trabelsi","Osmar R. Zaïane",1
"Amir Akbarnejad","Stephan Günnemann",1
"Amir Alipour-Fanid","Kai Zeng 0001",1
"Amir Alipour-Fanid","Martin Slawski",1
"Amir Khatibi","Ana P. Silva",1
"Amir Khatibi","Dennis E. Shasha",1
"Amir Khatibi","Fabiano Belém",1
"Amir Khatibi","Fernando Mourão",1
"Amir Khatibi","Leonardo C. da Rocha",1
"Amir Khatibi","Marcos André Gonçalves",2
"Amir Khatibi","Sérgio D. Canuto",1
"Amir Khatibi","Thiago Salles",1
"Amirhossein Aleyasen","F. Michael Waas",1
"Amirhossein Aleyasen","Lyublena Antova",1
"Amirhossein Aleyasen","Marianne Winslett",1
"Amirhossein Aleyasen","Mohamed A. Soliman",1
"Amirreza Niakanlahiji","Bei-Tseng Chu",1
"Amirreza Niakanlahiji","Jinpeng Wei",1
"Amit Gajbhiye","A. Stephen McGough",1
"Amit Gajbhiye","Noura Al Moubayed",1
"Amit Gajbhiye","Sardar F. Jaf",1
"Amit Gajbhiye","Steven Bradley",1
"Amit J. Shah","Gari D. Clifford",2
"Amit J. Shah","Shamim Nemati",1
"Amit Kumar Sharma 0004","Dhaval Patel",1
"Amit P. Sheth","Jyotishman Pathak",1
"Amit P. Sheth","Krishnaprasad Thirunarayan",1
"Amit P. Sheth","Raminta Daniulaityte",1
"Amit Pande","Chris Kanich",1
"Amit Pande","Philip S. Yu",1
"Amit Pande","Satyajit Gupte",1
"Amlan Chatterjee","Khondker S. Hasan",1
"Amlan Chatterjee","Rushabh Jitendrakumar Shah",1
"Amnay Amimeur","Chao Jiang",1
"Amnay Amimeur","Dejing Dou",1
"Amnay Amimeur","Pengwei Wang",1
"Amnay Amimeur","Ruoming Jin",1
"Amritanshu Pandey","Christos Faloutsos",1
"Amritanshu Pandey","Larry T. Pileggi",1
"Amritanshu Pandey","Marko Jereminov",1
"Amulya Kotni","Masaru Kitsuregawa",1
"Amulya Kotni","Masashi Toyoda",1
"Amulya Kotni","P. Krishna Reddy",1
"Amulya Kotni","Subhash Bhalla",1
"Amy Greenwald","Takehiro Oyakawa",1
"Amy Greenwald","Vasilis Syrgkanis",1
"Amy Siu","Gerhard Weikum",1
"Ana-Andreea Stoica","Augustin Chaintreau",1
"Ana-Andreea Stoica","Christopher J. Riederer",1
"Ana Baylin","Philippa Clarke",1
"Ana Baylin","Robert Goodspeed",1
"Ana Baylin","Tiffany C. Veinot",1
"Ana Baylin","Veronica J. Berrocal",1
"Ana Fernández del Río","Africa Perianez",1
"Ana P. Silva","Dennis E. Shasha",1
"Ana P. Silva","Marcos André Gonçalves",1
"Anahita Hosseini","Majid Sarrafzadeh",1
"Anahita Hosseini","Ting Chen 0007",1
"Anahita Hosseini","Wenjun Wu",1
"Anahita Hosseini","Yizhou Sun",1
"Ananth Grama","David F. Gleich",1
"Ananth Y. Grama","Wojciech Szpankowski",1
"Anas Elghafari","Rumi Chunara",1
"Anastasia Giachanou","Fabio Crestani",1
"Anastasia Giachanou","Ida Mele",1
"Anastasia Giachanou","Paolo Rosso",1
"Anastasios Noulas","Cecilia Mascolo",1
"Anastasios Noulas","Zhongxiang Zhao",1
"Anderson C. A. Nascimento","Ankur Teredesai",1
"Anderson C. A. Nascimento","Martine De Cock",1
"Andong Wang","Jacqueline C. K. Lam",1
"Andong Wang","Victor O. K. Li",1
"André Gustavo Maletzke","Diego Furtado Silva",1
"André Gustavo Maletzke","Gustavo E. A. P. A. Batista",1
"André Luckow","Amy W. Apon",1
"André Luckow","Ankit Kulshrestha",1
"André Luckow","Bennie Vorster",1
"André Luckow","Edward B. Duffy",2
"André Luckow","Edwin Weill",1
"André Luckow","Emil Djerekarov",1
"André Luckow","Ken Kennedy",2
"André Luckow","Marcin Ziolkowski",2
"André Luckow","Matthew Cook 0004",1
"André Luckow","Melissa C. Smith",1
"André Luckow","Michael Schleiss",1
"André Mourão","João Magalhães",1
"Andrea Castiello","Angelo Furno",1
"Andrea Castiello","Eugenio Zimeo",1
"Andrea Castiello","Gianmarco Fucci",1
"Andrea Cimino","Felice Dell'Orletta",1
"Andrea Cimino","Marco Avvenuti",1
"Andrea Cimino","Maurizio Tesconi",1
"Andrea Edwards","Kun Zhang 0012",1
"Andrea Esuli","Alejandro Moreo Fernández",1
"Andrea Esuli","Fabrizio Sebastiani 0001",1
"Andrea Giovannucci","Cengiz Pehlevan",1
"Andrea Giovannucci","Dmitri B. Chklovskii",1
"Andrea Giovannucci","Victor Minden",1
"Andrea Gulino","Abdulrahman Kaitoua",1
"Andrea Gulino","Luca Nanni",1
"Andrea Gulino","Marco Masseroli",1
"Andrea Gulino","Pietro Pinoli",2
"Andrea Marino","Kunihiko Sadakane",1
"Andrea Marino","Luca Versari",1
"Andrea Marino","Takeaki Uno",1
"Andrea Morichetta 0002","Francesca Soro",1
"Andrea Morichetta 0002","Martino Trevisan",1
"Andrea Navarrete Rivera","Crystal Cody",1
"Andrea Navarrete Rivera","Jason Bennett",1
"Andrea Navarrete Rivera","Lauren Haynes",1
"Andrea Navarrete Rivera","Michael Defoe",1
"Andrea Navarrete Rivera","Rayid Ghani",1
"Andrea Navarrete Rivera","Sun-Joo Lee",1
"Andreas Both","Akhilesh Vyas",1
"Andreas Both","Akmal Khikmatullaev",1
"Andreas Both","Christoph Lange 0002",1
"Andreas Both","Dharmen Punjani",1
