"from","to","weight"
"Abhishek Goswami","Pete Luferenko",1
"Abhishek Goswami","Prabhat Roy",1
"Abhishek Goswami","Scott Inglis",1
"Abhishek Goswami","Sergiy Matusevych",1
"Abhishek Goswami","Shahab Moradi",1
"Abhishek Goswami","Shauheen Zahirazami",1
"Abhishek Goswami","Yiwen Zhu",1
"Abhishek Gupta 0001","Allan NengSheng Zhang",1
"Abhishek Gupta 0001","Allan Zhang NengSheng",1
"Abhishek Gupta 0001","Mojtaba Shakeri",1
"Abhishek Gupta 0001","Xu Chi",2
"Abhishek Gupta 0001","Yew-Soon Ong",2
"Abhishek Kolagunda","Steven Eliuk",1
"Abhishek Kolagunda","Xiaolong Wang 0006",1
"Abhishek Pratap","Brian M. Bot",1
"Abhishek Pratap","Lara Mangravite",1
"Abhishek Pratap","Larsson Omberg",1
"Abhishek Pratap","Meghasyam Tummalacherla",1
"Abhishek Pratap","Thanneer M. Perumal",1
"Abhishek Pratap Singh","Amitabha Bagchi",1
"Abhishek Pratap Singh","Sagar Goyal",1
"Abhishek Pratap Singh","Sayan Ranu",1
"Abolfazl Asudeh","Bill Howe",1
"Abolfazl Asudeh","H. V. Jagadish",1
"Abolfazl Asudeh","Julia Stoyanovich",1
"Abraham Bernstein","Huajun Chen",1
"Abrar Rahman","Anusheh Abdullah",1
"Abrar Rahman","Ari Mitra",1
"Abrar Rahman","Fuad Rahman",1
"Abrar Rahman","Hailey Swanson",1
"Abrar Rahman","Marvin J. Slepian",2
"Abrar Rahman","Rebecca Slepian",1
"Abrar Rahman","Yonathan Weiner",1
"Ace Dimitrievski","Cas Apanowicz",1
"Ace Dimitrievski","Marek Grzegorowski",1
"Achal Agarwal","Kirti Singh Rathore",1
"Achal Agarwal","Nischay Singh",1
"Achilleas Psyllidis","Alessandro Bozzon",1
"Achilleas Psyllidis","Geert-Jan Houben",1
"Achir Kalra","Chong Wang",2
"Achir Kalra","Cristian Borcea",2
"Achir Kalra","Yi Chen 0001",2
"Ada Wai-Chee Fu","Raymond Chi-Wing Wong",1
"Adam Badawy","Emilio Ferrara",1
"Adam Badawy","Kristina Lerman",1
"Adam Fourney","Ece Kamar",1
"Adam Fourney","Leah Findlater",1
"Adam Fourney","Meredith Ringel Morris",1
"Adam Fourney","Ryen W. White",1
"Adam Henderson","Diane Hu",1
"Adam Henderson","Liangjie Hong",1
"Adam J. Storm","C. Mohan 0001",1
"Adam J. Storm","Christian Garcia-Arellano",1
"Adam J. Storm","Guy M. Lohman",1
"Adam J. Storm","Hamid Pirahesh",1
"Adam J. Storm","Pinar Tözün",1
"Adam J. Storm","René Müller 0001",1
"Adam J. Storm","Richard Sidle",1
"Adam J. Storm","Ronen Grosman",1
"Adam J. Storm","Vijayshankar Raman",1
"Adam J. Storm","Yingjun Wu",1
"Adam J. Storm","Yuanyuan Tian",1
"Adam Jatowt","Antoine Doucet",1
"Adam Jatowt","Ricardo Campos 0001",1
"Adam Jatowt","Sourav S. Bhowmick",1
"Adam Soroka","Richard Marciano",1
"Addi Ait-Mlouk","Erik Elmroth",1
"Addi Ait-Mlouk","Lili Jiang",1
"Adil Alim","Feng Chen 0001",1
"Adil Alim","Jin-Hee Cho",1
"Adil Alim","Xujiang Zhao",1
"Adit Krishnan","Hari Cheruvu",1
"Adit Krishnan","Hari Sundaram",1
"Adit Krishnan","Tao Cheng 0001",1
"Aditi Malladi","Andréa M. Matsunaga",1
"Aditi Malladi","José A. B. Fortes",1
"Aditi Malladi","Maurício O. Tsugawa",1
"Aditya Pal","Chuck Rosenberg",1
"Aditya Pal","Jure Leskovec",1
"Aditya Pal","Pong Eksombatchai",1
"Adrian Stetco","Anees Mohammed",1
"Adrian Stetco","Goran Nenadic",1
"Adrian Stetco","John A. Keane",1
"Adrian Stetco","Sinisa Djurovic",1
"Adrien Guille","Julien Velcin",1
"Aécio S. R. Santos","Juliana Freire",1
"Aekyeung Moon","Jialing Zhang",1
"Aekyeung Moon","Seung Woo Son 0001",1
"Aekyeung Moon","Xiaoyan Zhuo",1
"Afonso Mendes","Andreas Vlachos 0001",1
"Afonso Mendes","Andrew Secker",1
"Afonso Mendes","Jeff Mitchell",1
"Afonso Mendes","Rebecca Garrett",1
"Afonso Mendes","Zita Marinho",1
"Agastya Silvina","Andreas Pitsillides",1
"Agastya Silvina","Christos Fidas",1
"Agastya Silvina","M. Kumar",1
"Agastya Silvina","Marios Belk",1
"Agastya Silvina","Michael Rossbory",1
"Agnieszka Chadzynska-Krasowska","Bartek Konarski",1
"Agnieszka Chadzynska-Krasowska","Dominik Slezak",1
"Agnieszka Chadzynska-Krasowska","Joel Holland",1
"Agustin Zuniga","Eemil Lagerspetz",1
"Agustin Zuniga","Huber Flores",1
"Agustin Zuniga","Jukka Manner",1
"Agustin Zuniga","Pan Hui 0001",1
"Agustin Zuniga","Petteri Nurmi",1
"Agustin Zuniga","Sasu Tarkoma",1
"Ahmad Al-Shishtawy","Vladimir Vlassov",1
"Ahmad Farag","Suhang Wang",1
"Ahmad Farag","Zhenhui Li",1
"Ahmad O. Aseeri","Mohammed Saeed Alkatheiri",1
"Ahmad Slo","Albert Flaig",1
"Ahmad Slo","Kurt Rothermel",1
"Ahmad Slo","Sukanya Bhowmik",1
"Ahmed El-Kishky","Aston Zhang",1
"Ahmed El-Kishky","Frank F. Xu",1
"Ahmed El-Kishky","Jiawei Han 0001",2
"Ahmed El-Kishky","Xiang Ren 0001",1
"Ahmed Eldawy","Vagelis Hristidis",1
"Ahmed Hassan Awadallah","Milad Shokouhi",1
"Ahmed Lasisi","Allan Zarembski",1
"Ahmed Lasisi","Antonio Merheb",1
"Ahmed Lasisi","Nii O. Attoh-Okine",1
"Ahmed M. Balfagih","Vlado Keselj",1
"Ahmed Rashed","Josif Grabocka",1
"Ahmed Rashed","Lars Schmidt-Thieme",2
"Ahmet Erdem Sariyüce","Srikanta Tirthapura",1
"Ahmet Tugrul Bayrak","Olcay Taner Ytldtz",1
"Ahmet Uyar","Gurhan Gunduz",1
"Ahmet Uyar","Selahattin Akkas",1
"Aidong Yang","Fanyu Meng",1
"Aidong Yang","Shuming Zeng",1
"Aileen Benedict","Elise Demeter",1
"Ailing Piao","Dongxin Liu",1
"Ailing Piao","Huajie Shao",1
"Ailing Piao","Jiawei Han 0001",1
"Ailing Piao","Jinyang Li 0004",1
"Ailing Piao","Lu Su",1
"Ailing Piao","Shaohan Hu",1
"Ailing Piao","Shengzhong Liu",1
"Ailing Piao","Tarek F. Abdelzaher",1
"Ailing Piao","Tianshi Wang",1
"Ailing Piao","Wenjun Jiang",1
"Ailing Piao","Yiran Zhao",1
"Airong Jiang","Hui Xiong 0001",1
"Airong Jiang","Ying Li",1
"Aixin Sun","Minlie Huang",1
"Aixin Sun","Xiaokui Xiao",1
"Aixin Sun","Xiaoyan Zhu 0001",1
"Aixin Sun","Yun Cheng",1
"Ajay Rastogi","Syed Afzal Murtaza Rizvi",1
"Ajit Kumar 0001","Andrii Shalaginov",1
"Ajit Kumar 0001","Bhawna Yadav",1
"Ajit Kumar 0001","Saket Upadhyay",1
"Ajit Kumar 0001","Shishir K. Shandilya",1
"Ajit Kumar 0001","Vinti Agarwal",1
"Ajitesh Srivastava","Charalampos Chelmis",1
"Ajitesh Srivastava","Rajgopal Kannan",1
"Ajitesh Srivastava","Viktor K. Prasanna",1
"Akankshya Mishra","Yashvardhan Sharma",1
"Akhil Arora 0001","Arnab Bhattacharya 0001",1
"Akhil Arora 0001","Sayan Ranu",1
"Akihiro Yoshida","Akira Tanaka",1
"Akihiro Yoshida","Katsuki Fujisawa",1
"Akihiro Yoshida","Kenichi Nagamatsu",1
"Akihiro Yoshida","Nariaki Tateiwa",1
"Akihiro Yoshida","Nozomi Hata",1
"Akihiro Yoshida","Takashi Wakamatsu",1
"Akihiro Yoshida","Tatsuru Higurashi",1
"Akihiro Yoshida","Yosuke Yatsushiro",1
"Akil Arif Ibrahim","Prithviraj Chavan",1
"Akira Tanaka","Katsuki Fujisawa",1
"Akira Tanaka","Kenichi Nagamatsu",1
"Akshay Aggarwal","Chuck Bear",1
"Akshay Aggarwal","Jaimin Dave",1
"Akshay Aggarwal","Michael Leuchtenburg",1
"Akshay Aggarwal","Nga Tran",1
"Akshay Krishnamurthy","Andrew McCallum",1
"Akshay Krishnamurthy","Michael R. Glass",1
"Alan B. Cannaday II","A. J. Maltenfort",1
"Alan B. Cannaday II","Curt H. Davis",1
"Alan B. Cannaday II","Grant J. Scott",1
"Alan B. Cannaday II","James Alex Hurt",1
"Alan B. Cannaday II","Raymond L. Chastain",1
"Alan Martin","Ana Catarino",1
"Alan Martin","Andrew D. Blackwell",1
"Alan Martin","Valentin Tablan",1
"Alan Mislove","Krishna P. Gummadi",1
"Alan Mislove","Michelle L. Mazurek",1
"Alan Mislove","Oana Goga",1
"Alana Shine","David Kempe 0001",1
"Albert Bifet","Dong-Wan Choi",1
"Albert Bifet","Ghislain Fiévet",1
"Albert Bifet","Giyyarpuram Madhusudan",1
"Albert Bifet","Jimin Sohn",1
"Albert Bifet","Seojeong Yu",1
"Albert Bifet","Talel Abdessalem",1
"Albert Bifet","Yeonwoo Nam",1
"Albert Flaig","Kurt Rothermel",1
"Albert Y. Zomaya","Rajiv Ranjan",1
"Alberto Cano 0001","Bartosz Krawczyk",1
"Alberto Tarable","Alessandro Nordio",1
"Aldo Lipani","Emine Yilmaz",2
"Aldo Lipani","Shangsong Liang",1
"Aldo Lipani","Zhaochun Ren",1
"Aldrich Mangune","Bin Yu",1
"Aldrich Mangune","Cricket Liu",1
"Aldrich Mangune","Magdalini Eirinaki",1
"Alec C. Gerry","Eamonn J. Keogh",1
"Aleksander Fabijan","Jayant Gupchup",1
"Aleksander Fabijan","Jeff Omhover",1
"Aleksander Fabijan","Lukas Vermeer",1
"Aleksander Fabijan","Pavel A. Dmitriev",1
"Aleksander Fabijan","Somit Gupta",1
"Aleksander Fabijan","Wen Qin",1
"Aleksandrs Slivkins","Zhiwei Steven Wu",1
"Aleksei Timofeev","Chao Jia",1
"Aleksei Timofeev","Chen Sun",1
"Aleksei Triastcyn","Boi Faltings",1
"Alessandra Russo","Elisa Bertino",1
"Alessandra Russo","Graham White 0002",1
"Alessandra Russo","Seraphin B. Calo",1
"Alessandro Bozzon","Geert-Jan Houben",1
"Alessandro Celestini","Enrico Mastrostefano",1
"Alessandro Celestini","Flavio Lombardi",1
"Alessandro Celestini","Stefano Guarino",1
"Alessandro Epasto","Bryan Perozzi",1
"Alessandro Epasto","Hossein Esfandiari",1
"Alessandro Epasto","Mohammad Mahdian",1
"Alessandro Epasto","Ravi Kumar 0001",1
"Alessandro Epasto","Vahab S. Mirrokni",1
"Alessandro Nuara","Francesco Trovò",1
"Alessandro Nuara","Marcello Restelli",1
"Alessandro Nuara","Maria Chiara Zaccardi",1
"Alessandro Nuara","Nicola Gatti 0001",1
"Alessandro Nuara","Nicola Sosio",1
"Alessia Galdeman","Gian Paolo Rossi 0001",1
"Alessia Galdeman","Sabrina Gaito",1
"Alessio Conte","Donatella Firmani",1
"Alessio Conte","Maurizio Patrignani",1
"Alessio Conte","Riccardo Torlone",1
"Alessio Pagliari","Fabrice Huet",1
"Alessio Pagliari","Guillaume Urvoy-Keller",1
"Alessio Signorini","Andrew Trister",1
"Alessio Signorini","Belle Tseng",1
"Alessio Signorini","Han Hee Song",1
"Alessio Signorini","Hyun Joon Jung",1
"Alessio Signorini","Jie Shen",1
"Alessio Signorini","Marc Sunga",1
"Alessio Signorini","Melissa Pugh",1
"Alessio Signorini","Roy Yaari",1
"Alessio Signorini","Vera Maljkovic",1
"Alex Aizman","Gavin Maltby",1
"Alex Aizman","Thomas Breuel",1
"Alex Beutel","Can Xu",1
"Alex Beutel","Cristos Goodrow",1
"Alex Beutel","Ed H. Chi",2
"Alex Beutel","Hai Qian",1
"Alex Beutel","Jilin Chen",1
"Alex Beutel","Li Wei",1
"Alex Beutel","Lichan Hong",1
"Alex Beutel","Lukasz Heldt",1
"Alex Beutel","Tulsee Doshi",1
"Alex Beutel","Yi Wu",1
"Alex Beutel","Zhe Zhao",1
"Alex Bozarth","Brendan Dwyer",1
"Alex Bozarth","Daniel Jalova",1
"Alex Bozarth","Fei Hu 0003",1
"Alex Bozarth","Frederick R. Reiss",1
"Alex Bozarth","Gabriela de Queiroz",1
"Alex Bozarth","Hong Xu 0003",1
"Alex Bozarth","Karthik Muthuraman",1
"Alex Bozarth","Nick Pentreath",1
"Alex Bozarth","Patrick Titzler",1
"Alex Bozarth","Saishruthi Swaminathan",1
"Alex Bozarth","Simon Plovyt",1
"Alex Bozarth","Vijay Bommireddipalli",1
"Alex Bozarth","Xin Wu",1
"Alex Cheng","Yueting Zhuang",1
"Alex Chin","Johan Ugander",1
"Alex Chin","Kristen M. Altenburger",1
"Alex Chin","Yatong Chen",1
"Alex Flores-Mamani","Daniel Hidalgo-Chavez",1
"Alex Flores-Mamani","Miguel Mejia-Puma",1
"Alex Gonopolskiy","Daniel Colón-Ramos",1
"Alex Gonopolskiy","David van Dijk",1
"Alex Gonopolskiy","Guy Wolf",1
"Alex Gonopolskiy","Kevin R. Moon",1
"Alex Gonopolskiy","Manik Kuchroo",1
"Alex Gonopolskiy","Mark W. Moyle",1
"Alex Gonopolskiy","Matthew J. Hirn",1
"Alex Kaplunovich","Karuna P. Joshi",1
"Alex Kaplunovich","Yelena Yesha",1
"Alex Morehead","Bruce White",1
"Alex Morehead","Gabe Magee",1
"Alex Morehead","George O. Mohler",1
"Alex Morehead","Lauren Ogden",1
"Alex Morehead","Ryan Hosler",1
"Alex Shelkovnykov","Erik Buchanan",1
"Alex Shelkovnykov","Yiming Ma",1
"Alex Sim","Kesheng Wu",2
"Alex Sim","Peter H. Beckman",1
"Alex Sim","Rajkumar Kettimuthu",1
"Alex Sim","Wei-keng Liao",1
"Alex Sim","Zhengchun Liu",1
"Alex Yang","Charlie T. Veal",1
"Alex Yang","Grant J. Scott",1
"Alex Yang","James Alex Hurt",1
"Alexander Ganshin","Alexander Molchanov",1
"Alexander Ganshin","Dmitry Solomentsev",1
"Alexander Ganshin","Ivan Bushmarinov",1
"Alexander Ganshin","Ruslan Grokhovetskiy",1
"Alexander Ganshin","Sergey Ovcharenko",1
"Alexander Grass","Christian Beecks",1
"Alexander Herzog","Amy W. Apon",1
"Alexander Herzog","Ilya Safro",1
"Alexander Herzog","Paul W. Wilson",1
"Alexander Löser","Felix A. Gers",1
"Alexander Marx","Jilles Vreeken",1
"Alexander Molchanov","Dmitry Solomentsev",1
"Alexander Molchanov","Ivan Bushmarinov",1
"Alexander Molchanov","Ruslan Grokhovetskiy",1
"Alexander Molchanov","Sergey Ovcharenko",1
"Alexander Robertson","Daniele Quercia",1
"Alexander Robertson","Luca Maria Aiello",1
"Alexander Sim","Kesheng Wu",1
"Alexander Suleykin","Natalya Bakhtadze",1
"Alexander Suleykin","Peter Panfilov",1
"Alexander Tong 0001","Guy Wolf",1
"Alexander Tong 0001","Smita Krishnaswamy",1
"Alexander Tuzhilin","Dmitrii Umerenkov",1
"Alexander van der Grinten","Henning Meyerhenke",1
"Alexander Zhou","Nguyen Quoc Viet Hung",1
"Alexandra Ballow","Alexander Sim",1
"Alexandra Ballow","C. Anna Spurlock",1
"Alexandra Ballow","Kesheng Wu",1
"Alexandra Ballow","Ling Jin",1
"Alexandra Poulovassilis","Peter T. Wood",1
"Alexandra Poulovassilis","Petra Selmer",1
"Alexandra Vtyurina","Adam Fourney",1
"Alexandra Vtyurina","Leah Findlater",1
"Alexandra Vtyurina","Meredith Ringel Morris",1
"Alexandra Vtyurina","Ryen W. White",1
"Alexandros Kapravelos","Nick Nikiforakis",1
"Alexandru Costan","Gabriel Antoniu",1
"Alexandru Uta","Henri E. Bal",2
"Alexandru Uta","Lin Wang",2
"Alexei Kopylov","Jiejun Xu",1
"Alexey Svyatkovskiy","Neel Sundaresan",1
"Alexey Svyatkovskiy","Shengyu Fu",1
"Alexey Svyatkovskiy","Ying Zhao",1
"Alexey Tikhonov","Nelly Litvak",1
"Alfonso Lobos Ruiz","Aaron Flores",1
"Alfonso Lobos Ruiz","Yu Sun",1
"Alfredo Cuzzocrea","Deyu Deng",1
"Alfredo Cuzzocrea","Edoardo Serra",1
"Alfredo Cuzzocrea","Fan Jiang 0001",1
"Alfredo Cuzzocrea","Jiaxing Jason Mai",1
"Alfredo Cuzzocrea","Marwan Hassani",1
"Alfredo Cuzzocrea","S. Sourav",1
"Ali Ahmadvand","Eugene Agichtein",2
"Ali Ahmadvand","Harshita Sahijwani",1
"Ali Ahmadvand","Jason Ingyu Choi",1
"Ali Anaissi","Fang Chen 0001",1
"Ali Anaissi","Yang Wang 0002",1
"Ali Assi 0002","Hamid Mcheick",1
"Ali Assi 0002","Wajdi Dhifli",1
"Ali Ghrayeb","Haitham Abu-Rub",1
"Ali Jahanshahi","Abbas Mazloumi",1
"Ali Jahanshahi","Hadi Zamani Sabzi",1
"Ali Mahmoudzadeh","Sophia Liu",1
"Ali Safari Khatouni","Anna Brunström",1
"Ali Safari Khatouni","Mah-Rukh Fida",1
"Ali Safari Khatouni","Marco Mellia",1
"Ali Safari Khatouni","Özgü Alay",1
"Ali Safari Khatouni","Stefan Alfredsson",1
"Ali Safari Khatouni","Vincenzo Mancuso",1
"Alican Büyükçakir","Fazli Can",1
"Alican Büyükçakir","Hamed R. Bonab",1
"Alice Mello","Ryan Ackerman",1
"Alina Lazar","Alex Sim",1
"Alina Lazar","Alexander Sim",1
"Alina Lazar","Alexandra Ballow",1
"Alina Lazar","C. Anna Spurlock",1
"Alina Lazar","Deborah A. Agarwal",1
"Alina Lazar","Devarshi Ghoshal",1
"Alina Lazar","Gilberto Zonta Pastorello",1
"Alina Lazar","Jinoh Kim",1
"Alina Lazar","Kesheng Wu",3
"Alina Lazar","Lavanya Ramakrishnan",1
"Alina Lazar","Ling Jin",1
"Alina Lazar","Ludovico Bianchi",1
"Aline Bessa","Eugene OFriel",1
"Aline Bessa","Fernando Chirigati",1
"Aline Bessa","Juliana Freire",1
"Aline Bessa","Mirella M. Moro",1
"Alireza Abdoli","Alec C. Gerry",1
"Alireza Abdoli","Amy C. Murillo",1
"Alireza Abdoli","Eamonn J. Keogh",1
"Alireza Aliamiri","Anand Avati",1
"Alireza Aliamiri","Andrew Y. Ng",1
"Alireza Aliamiri","Awni Y. Hannun",1
"Alisa Smirnova","Dingqi Yang",1
"Alisa Smirnova","Gianluca Demartini",1
"Alisa Smirnova","Philippe Cudré-Mauroux",1
"Alisa Smirnova","Yuan Lu",1
"Alissa Ostapenko","Frazer Anderson",1
"Alissa Ostapenko","Rodica Neamtu",1
"Alkiviadis Giannakoulias","Aleksandar Jevremovic",1
"Alkiviadis Giannakoulias","Mykhailo Chaikin",1
"Alkiviadis Giannakoulias","Oksana Bulda",1
"Allan Zarembski","Nii O. Attoh-Okine",1
"Allen Mao","Daniel Garijo",1
"Allen Mao","Shobeir Fakhraei",1
"Allen Yilun Lin","Justin Cranshaw",1
"Allen Yilun Lin","Scott Counts",1
"Alnour Alharin","Mina Sartipi",1
"Alnour Alharin","Nancy Fell",1
"Alnour Alharin","Zhen Hu",1
"Alok N. Choudhary","Alex Sim",1
"Alok N. Choudhary","Ankit Agrawal",1
"Alok N. Choudhary","Kesheng Wu",1
"Alok N. Choudhary","Peter H. Beckman",1
"Alok N. Choudhary","Rajkumar Kettimuthu",1
"Alok N. Choudhary","Richard Archibald",1
"Alok N. Choudhary","Wei-keng Liao",2
"Alok N. Choudhary","Zhengchun Liu",1
"Alon Y. Halevy","Ekaterina Pavlovic",1
"Alon Y. Halevy","George A. Mihaila",1
"Alon Y. Halevy","Huining Liu",1
"Alon Y. Halevy","Jinfeng Li",1
"Alon Y. Halevy","John Morales",1
"Alon Y. Halevy","Natalie Nuno",1
"Alon Y. Halevy","Vivian Li",1
"Alon Y. Halevy","Wang-Chiew Tan",1
"Alon Y. Halevy","Xiaolan Wang 0001",1
"Alon Y. Halevy","Yuliang Li 0001",1
"Alper Özbilen","Kübra CIn",1
"Alper Özbilen","Uraz Yavanoglu",1
"Aman Agarwal","Cheng Li 0012",1
"Aman Agarwal","Marc Najork",1
"Aman Agarwal","Michael Bendersky",1
"Aman Agarwal","Xuanhui Wang",1
"Aman Ahuja","Chandan K. Reddy",2
"Aman Ahuja","Edward A. Fox",1
"Aman Ahuja","Wei Wei 0019",1
"Aman Ahuja","Weiguo Fan",1
"Amanda O'Grady","Mina Sartipi",1
"Amanuel Alambo","Amit P. Sheth",1
"Amanuel Alambo","Joy Prakash Sain",1
"Amanuel Alambo","Jyotishman Pathak",1
"Amanuel Alambo","Krishnaprasad Thirunarayan",1
"Amanuel Alambo","Ramakanth Kavuluru",1
"Amanuel Alambo","Randy S. Welton",1
"Amanuel Alambo","Ugur Kursuncu",1
"Ameema Zainab","Ali Ghrayeb",1
"Ameema Zainab","Dabeeruddin Syed",1
"Ameema Zainab","Haitham Abu-Rub",1
"Ameema Zainab","Le Xie",1
"Ameema Zainab","Shady S. Refaat",1
"Amendra Shrestha","Lisa Kaati",1
"Amendra Shrestha","Nazar Akrami",1
"Amey Agrawal","Abhishek Dixit",1
"Amey Agrawal","Darshil Kapadia",1
"Amey Agrawal","Namrata A. Shettar",1
"Amey Agrawal","Rajat Gupta",1
"Amey Agrawal","Rohit Karlupia",1
"Amey Agrawal","Vikram Agrawal",1
"Amila Silva","Christopher Leckie",1
"Amila Silva","Ling Luo",1
"Amila Silva","Shanika Karunasekera",1
"Amin Kharraz","Andrew Miller 0001",1
"Amin Kharraz","Charles Lever",1
"Amin Kharraz","Joshua Mason",1
"Amin Kharraz","Manos Antonakakis",1
"Amin Kharraz","Michael Bailey",1
"Amin Kharraz","Nikita Borisov",1
"Amin Kharraz","Paul Murley",1
"Amin Kharraz","Zane Ma",1
"Amin Mantrach","Fabrizio Silvestri",1
"Amine Ghrab","Sabri Skhiri",1
"Amine Mrabet","Mehdi Bentounsi",1
"Amine Mrabet","Patrice Darmon",1
"Amine Trabelsi","Osmar R. Zaïane",1
"Aminul Islam","AKM Shahariar Azad Rabby",1
"Aminul Islam","Fuad Rahman",1
"Amir Alipour-Fanid","Hemant Purohit",1
"Amir Alipour-Fanid","Kai Zeng 0001",1
"Amir Alipour-Fanid","Liang Zhao 0002",1
"Amir Alipour-Fanid","Lingfei Wu",1
"Amir Alipour-Fanid","Xiang Chen 0010",1
"Amir Atapour Abarghouei","Andrew Stephen McGough",3
"Amir Atapour Abarghouei","Boguslaw Obara",1
"Amir Atapour Abarghouei","Georgios Theodoropoulos 0001",1
"Amir Atapour Abarghouei","Ibad Kureshi",1
"Amir Atapour Abarghouei","John Brennan",1
"Amir Atapour Abarghouei","Philip T. G. Jackson",1
"Amir Atapour Abarghouei","Stephen Bonner",2
"Amir Behrouzi-Far","Emina Soljanin",2
"Amir Yaghoubi Shahir","Hans Wehn",1
"Amir Yaghoubi Shahir","Mohammad A. Tayebi",1
"Amir Yaghoubi Shahir","Tilemachos Charalampous",1
"Amir Yaghoubi Shahir","Uwe Glässer",1
"Amir Yaghoubi Shahir","Zahra Zohrevand",1
"Amirali Darvishzadeh","Eamonn J. Keogh",1
"Amirali Darvishzadeh","Mikhail Noskov",1
"Amirreza Niakanlahiji","Bei-Tseng Chu",1
"Amirreza Niakanlahiji","Lida Safarnejad",1
"Amirreza Niakanlahiji","Reginald Harper",1
"Amit Datta","Jianan Lu",1
"Amit Datta","Michael Carl Tschantz",1
"Amit P. Sheth","Brandon S. Minnery",1
"Amit P. Sheth","Jyotishman Pathak",1
"Amit P. Sheth","Randy S. Welton",1
"Amit Pande","Kai Ni",1
"Amit Pande","Venkataramani Kini",1
"Amit Sharma","Bistra Dilkina",1
"Amit Sharma","Milind Tambe",1
"Amit Sharma","Vinod Choudhary",1
"Amit Somech","Brit Youngmann",1
"Ammar Mechouche","Jean-Marc Petit",1
"Ammar Mechouche","Pierre-Loic Maisonneuve",1
"Ammar Mechouche","Vasile-Marian Scuturici",1
"Amogha D. ShanBhag","Joy Bose",1
"Amoghavarsha Suresh","Anshul Gandhi",1
