"from","to","weight"
"A. B. M. Moniruzzaman","Balasubramaniam Thirunavukarasu",1
"A. B. M. Moniruzzaman","Maolin Tang",1
"A. B. M. Moniruzzaman","Richi Nayak",1
"A. B. Siddique","Ahmed Eldawy",1
"A. B. Siddique","Vagelis Hristidis",1
"Aaditya Ramdas","Aaditya Ramdas",2
"Aaditya Ramdas",NA,1
"Aakash Sabharwal","Adam Henderson",1
"Aakash Sabharwal","Diane Hu",1
"Aakash Sabharwal","Liangjie Hong",1
"Aakash Srinivasan","Akil Arif Ibrahim",1
"Aakash Srinivasan","Prithviraj Chavan",1
"Aaron Coburn","Adam Soroka",1
"Aaron Coburn","Richard Marciano",1
"Aaron Feng","Alon Y. Halevy",1
"Aaron Feng","Ekaterina Pavlovic",1
"Aaron Feng","George A. Mihaila",1
"Aaron Feng","Huining Liu",1
"Aaron Feng","Jinfeng Li",1
"Aaron Feng","John Morales",1
"Aaron Feng","Natalie Nuno",1
"Aaron Feng","Vivian Li",1
"Aaron Feng","Wang-Chiew Tan",1
"Aaron Feng","Xiaolan Wang 0001",1
"Aaron Feng","Yuliang Li 0001",1
"Aaron Harwood","Amila Silva",1
"Aaron Harwood","Kwan Hui Lim 0001",1
"Aaron Harwood","Lucia Falzon",1
"Aaron Harwood","Michelle Vanni",1
"Aaron Harwood","Prarthana Padia",1
"Aaron Harwood","Shanika Karunasekera",1
"Abbas Mazloumi","Hadi Zamani Sabzi",1
"Abbas Mazloumi","Rajiv Gupta 0001",2
"Abbas Mazloumi","Xiaolin Jiang",1
"Abdalghani Abujabal","Gerhard Weikum",1
"Abdalghani Abujabal","Jyotsna Singh",1
"Abdelouahab Khelifati","Mourad Khayati",1
"Abdelouahab Khelifati","Philippe Cudré-Mauroux",1
"Abdulah Fawaz","Paul Klein",1
"Abdulah Fawaz","Peter Mountney",1
"Abdulah Fawaz","Sebastien Piat",1
"Abdulah Fawaz","Simone Severini",1
"Abdulaziz Fatani","Faizan Ur Rehman",1
"Abdullah-Al Mamun 0002","Nalini Ravishanker",1
"Abdullah-Al Mamun 0002","Sanguthevar Rajasekaran",1
"Abdullah-Al Mamun 0002","Xingyu Cai",1
"Abdullah al-Raihan Nayeem","Junsong Yuan",1
"Abdullah al-Raihan Nayeem","S. George Djorgovski",1
"Abdullah Mueen","Amanda J. Minnich",1
"Abdullah Mueen","Nikan Chavoshi",1
"Abhijnan Chakraborty","Asia J. Biega",1
"Abhijnan Chakraborty","Hoda Heidari",1
"Abhijnan Chakraborty","Krishna P. Gummadi",1
"Abhijnan Chakraborty","Nuno Mota",1
"Abhilash Reddy Chenreddy","Parshan Pakiman",1
"Abhilash Reddy Chenreddy","Ranganathan Chandrasekaran",1
"Abhilash Reddy Chenreddy","Rick Abens",1
"Abhilash Reddy Chenreddy","Selvaprabu Nadarajah",1
"Abhishek Dixit","Darshil Kapadia",1
"Abhishek Dixit","Namrata A. Shettar",1
"Abhishek Dixit","Rajat Gupta",1
"Abhishek Dixit","Rohit Karlupia",1
"Abhishek Dixit","Vikram Agrawal",1
"Abhishek Dubey","Bruno Leão",1
"Abhishek Goswami","Artidoro Pagnoni",1
"Abhishek Goswami","Gal Oshri",1
"Abhishek Goswami","Gani Nazirov",1
"Abhishek Goswami","Gleb Krivosheev",1
"Abhishek Goswami","Ivan Matantsev",1
"Abhishek Goswami","Jignesh Parmar",1
"Abhishek Goswami","Justin Ormont",1
"Abhishek Goswami","Markus Weimer",1
"Abhishek Goswami","Matteo Interlandi",1
"Abhishek Goswami","Mohammad Zeeshan Siddiqui",1
"Abhishek Goswami","Monte Hoover",1
"Abhishek Goswami","Najeeb Kazmi",1
