"from","to","weight"
"A. Aziz Altowayan","Lixin Tao",1
"A. Munoz-Jaramillo","C. E. DeForest",1
"A. Munoz-Jaramillo","D. A. Lamb",1
"A. Munoz-Jaramillo","D. W. Longcope",1
"A. Munoz-Jaramillo","J. C. Windmueller",1
"A. Munoz-Jaramillo","J. P. Vargas-Acosta",1
"A. Munoz-Jaramillo","J. W. Harvey",1
"A. Munoz-Jaramillo","J. Zhang",1
"A. Munoz-Jaramillo","M. D. DeLuca",1
"A. Munoz-Jaramillo","P. C. H. Martens",1
"A. Munoz-Jaramillo","S. Vargas-Dominguez",1
"A. Munoz-Jaramillo","Z. A. Werginz",1
"A. Murat Ozbayoglu","Aras Onal",1
"A. Murat Ozbayoglu","Erdogan Dogdu",1
"A. Murat Ozbayoglu","Yusuf Gökhan Küçükayan",1
"Aaron Cahn","Paul Barford",1
"Aaron Cahn","S. Muthukrishnan",1
"Aaron Cahn","Scott Alfeld",1
"Aaron Gerow","Eamon Duede",1
"Aaron Halfaker","Eduard H. Hovy",1
"Aaron Halfaker","Robert E. Kraut",1
"Aaron Levine","Ankur Datta",1
"Aaron Levine","Giuseppe Di Fabbrizio",1
"Aaron Staple","Matei Zaharia",1
"Abdel-Rahman H. Tawil","Elyes Lamine",1
"Abdel-Rahman H. Tawil","Syed Islam",1
"Abdel-Rahman H. Tawil","Usman Naeem",1
"Abdeltawab M. Hendawi","Fatemah Alali",1
"Abdeltawab M. Hendawi","John A. Stankovic",1
"Abdeltawab M. Hendawi","Nada Basit",1
"Abdeltawab M. Hendawi","Tianshu Zhou",1
"Abdeltawab M. Hendawi","Xiao Liu",1
"Abdeltawab M. Hendawi","Xiaoyu Wang",1
"Abdeltawab M. Hendawi","Yunfei Guan",1
"Abdesattar Mhadhbi","Badran Raddaoui",1
"Abdesattar Mhadhbi","Lakhdar Sais",1
"Abdullah Mueen","Eamonn J. Keogh",1
"Abhijnan Chakraborty","Krishna P. Gummadi",1
"Abhijnan Chakraborty","Niloy Ganguly",1
"Abhijnan Chakraborty","Saptarshi Ghosh 0001",1
"Abhimanyu Lad","Lin Guo",1
"Abhimanyu Lad","Shakti Sinha",1
"Abhinav Maurya","Abhinav Maurya",2
"Abhinav Maurya",NA,1
"Abhishek Sikchi","Pawan Goyal",1
"Abhishek Sikchi","Samik Datta",1
"Abid Hussain","Ravi Vatrapu",3
"Abir Zayani","Chiheb-Eddine Ben N'cir",1
"Abir Zayani","Nadia Essoussi",1
"Achint Thomas","Yashar Mehdad",1
"Achint Thomas","Yi Chang 0001",1
"Achir Kalra","Cristian Borcea",1
"Achir Kalra","Yi Chen 0001",1
"Achla Marathe","Andy Doyle",1
"Achla Marathe","David Mares",1
"Achla Marathe","Dipak K. Gupta",1
"Achla Marathe","Graham Katz",1
"Achla Marathe","Jaime Arredondo",1
"Achla Marathe","Kristen Maria Summers",1
"Achla Marathe","Naren Ramakrishnan",1
"Adam Jatowt","Daisuke Kawai",1
"Adam Jatowt","Katsumi Tanaka",3
"Adam M. Alessio","Sohini Roychowdhury",1
"Adam M. Leadbetter","Adam Shepherd",1
"Adam M. Leadbetter","Damian Smyth",1
"Adam M. Leadbetter","Eoin O'Grady",1
"Adam M. Leadbetter","Robert Fuller",1
"Addhyan Pandey","Angela Han",1
"Addhyan Pandey","Rajesh Parekh",1
"Adel Assiri","Ahmed Emam",1
"Adel Assiri","Hmood Al-Dossari",1
"Adetokunbo Makanju","Aijun An",1
"Adetokunbo Makanju","Nick Cercone",1
"Adetokunbo Makanju","Yonggang Hu",1
"Adetokunbo Makanju","Zahra Farzanyar",1
"Adetokunbo Makanju","Zane Zhenhua Hu",1
"Adi Omari","Benny Kimelfeld",1
"Adi Omari","Eran Yahav",1
"Adi Omari","Sharon Shoham",1
"Adiska Fardani Haryadi","Agung Wahyudi",1
"Adiska Fardani Haryadi","Haiko Van Der Voort",1
"Adiska Fardani Haryadi","Joris Hulstijn",1
"Adiska Fardani Haryadi","Marijn Janssen 0001",1
"Aditi Gupta 0003","Anupam Joshi",1
"Aditi Gupta 0003","Claudia Pearce",1
"Aditi Gupta 0003","Sudip Mittal",1
"Aditi Gupta 0003","Tim Finin",1
"Aditya Devarakonda","Evan Racah",1
"Aditya Devarakonda","James Demmel",1
"Aditya Devarakonda","Jatin Chhugani",1
"Aditya Devarakonda","Jey Kottalam",1
"Aditya Devarakonda","Jialin Liu 0002",1
"Aditya Devarakonda","Jim Harrell",1
"Aditya Devarakonda","Jiyan Yang",1
"Aditya Devarakonda","Kristyn J. Maschhoff",1
"Aditya Devarakonda","Lisa Gerhardt",1
"Aditya Devarakonda","Michael F. Ringenburg",1
"Aditya Devarakonda","Michael W. Mahoney",1
"Aditya Devarakonda","Prabhat",1
"Aditya Devarakonda","Pramod Sharma",1
"Aditya Devarakonda","Shane Canon",1
"Aditya Devarakonda","Venkat Krishnamurthy",1
"Aditya G. Parameswaran","Jiawei Han 0001",1
"Aditya Grover","Jure Leskovec",1
"Aditya Mangla","Navneet Goyal",1
"Aditya Mangla","Sundar Balasubramaniam",1
