"from","to","weight"
"Aditya Pal","Amaç Herdagdelen",1
"Aditya Pal","Deepayan Chakrabarti",1
"Aditya Pal","Sourav Chatterji",1
"Aditya Pal","Sumit Taank",1
"Aditya Pan","Yong Chiang Tay",1
"Adriano César Machado Pereira","Daniel Hasan Dalip",1
"Adriano César Machado Pereira","Fabrício Benevenuto",1
"Adrien Friggeri","Lada A. Adamic",1
"Aduri Pavan","J. Smith",1
"Aduri Pavan","N. V. Vinodchandran",1
"Aduri Pavan","Paul Quint",1
"Aduri Pavan","Stephen D. Scott",1
"Agung Wahyudi","Haiko Van Der Voort",1
"Agung Wahyudi","Marijn Janssen 0001",1
"Aharon Abadi","Aidan Shribman",1
"Aharon Abadi","Alaa Nassar",1
"Aharon Abadi","Ashraf Haib",1
"Aharon Abadi","Hisham Yasin",1
"Aharon Abadi","Roie Melamed",1
"Ahmad Mahmoody","Charalampos E. Tsourakakis",1
"Ahmad Mahmoody","Eli Upfal",1
"Ahmed Emam","Hmood Al-Dossari",1
"Ahmed Hassan Awadallah","Imed Zitouni",1
"Ahmed Hassan Awadallah","Kyle Williams",1
"Ahmed Hassan Awadallah","Madian Khabsa",1
"Ahmed Hassan Awadallah","Tasos Anastasakos",1
"Ahmet Küçük","Rafal A. Angryk",1
"Ahmet Soylu","Arild Waaler",1
"Ahmet Soylu","Christoforos Svingos",1
"Ahmet Soylu","Diego Calvanese",1
"Ahmet Soylu","Dmitriy Zheleznyakov",1
"Ahmet Soylu","Guohui Xiao 0001",1
"Ahmet Soylu","Ian Horrocks",1
"Ahmet Soylu","Martin Giese",1
"Ahmet Soylu","Ralf Möller 0001",1
"Ahmet Soylu","Yannis E. Ioannidis",1
"Ahmet Soylu","Yannis Kotidis",1
"Ahsanul Haque","Charu C. Aggarwal",2
"Ahsanul Haque","Latifur Khan",2
"Ahsanul Haque","Swarup Chandra",1
"Ahsanul Haque","Yupeng Gao",1
"Ahsanul Haque","Zhuoyi Wang",1
"Aidan C. Crook","Ahmed Hassan Awadallah",2
"Aidan C. Crook","Imed Zitouni",2
"Aidan C. Crook","Kyle Williams",1
"Aidan C. Crook","Madian Khabsa",1
"Aidan C. Crook","Tasos Anastasakos",1
"Aidan Shribman","Hisham Yasin",1
"Aijun An","Nick Cercone",1
"Aijun An","Yonggang Hu",2
"Aijun An","Zane Zhenhua Hu",1
"Aixin Sun","Gao Cong",1
"Aixin Sun","Jialong Han",1
"Aixin Sun","Zongyang Ma",1
"Ajinkya Prabhune","Anil Keshav",1
"Ajinkya Prabhune","Hasebullah Ansari",1
"Ajinkya Prabhune","Jürgen Hesser",1
"Ajinkya Prabhune","Michael Gertz 0001",1
"Ajinkya Prabhune","Rainer Stotzka",1
"Akhlaq Ahmad","Emad A. Felemban",1
"Akhlaq Ahmad","Sheikh Nasir Saeed",1
"Aki-Hiro Sato","Tsutomu Watanabe",1
"Akihiro Nomura 0002","Hiroki Nishimura",1
"Akihiro Nomura 0002","Ikuro Sato",1
"Akihiro Nomura 0002","Satoshi Matsuoka",1
"Akihiro Nomura 0002","Yukimasa Tamatsu",1
"Akira Ishii","Masanori Ajito",1
"Akira Ishii","Yasuko Kawahata",1
"Akira Umayabara","Hayato Yamana",1
"Akram Aldroubi","Ahmet Bugra Koku",1
"Akrivi Vlachou","Kjetil Nørvåg",1
"Alaa Nassar","Aidan Shribman",1
"Alaa Nassar","Hisham Yasin",1
"Alan Mislove","Christo Wilson",1
"Alan Woodley","Ling-Xiang Tang",1
"Alan Woodley","Richi Nayak",1
"Alan Woodley","Shlomo Geva",1
"Alan Woodley","Timothy Chappell",1
"Albara Ah Ramli","Xin Liu 0002",1
"Albert Banchs","Arturo Azcorra",1
"Albert Banchs","Mohamed Ahmed",1
"Albert Banchs","Roberto Gonzalez",1
"Albert Banchs","Stefano Traverso",1
"Albert Bifet","Arinto Murdopo",1
"Albert Bifet","João Gama 0001",1
"Albert Bifet","Latifur Khan",1
"Albert Bifet","Wei Fan 0001",1
"Alberto Barrón-Cedeño","Alessandro Moschitti",1
"Alberto Barrón-Cedeño","Antonio Uva 0001",1
"Alberto Barrón-Cedeño","Salvatore Romeo",1
"Aldo Lipani","Allan Hanbury",1
"Aldo Lipani","Evangelos Kanoulas",1
"Aldo Lipani","Mihai Lupu",1
"Alejandro Jaimes","Alice H. Oh",1
"Aleksandr Chuklin","Maarten de Rijke",1
"Alessandra Sala","Srinivasan Parthasarathy 0001",1
"Alessandro D'Anca","Davide Salomoni",1
"Alessandro D'Anca","Dean N. Williams",1
"Alessandro D'Anca","Germán Moltó",1
"Alessandro D'Anca","Giacinto Donvito",1
"Alessandro D'Anca","Giovanni Aloisio",1
"Alessandro D'Anca","Ignacio Blanquer",1
"Alessandro D'Anca","Marco Fargetta",1
"Alessandro D'Anca","Mário David",1
"Alessandro D'Anca","Miguel Caballer",1
"Alessandro D'Anca","Riccardo Bruno",1
"Alessandro D'Anca","Roberto Barbera",1
"Alessandro D'Anca","V. Anantharaj",1
"Alessandro D'Anca","Z. Shaheen",1
"Alessandro Epasto","Eli Upfal",1
"Alessandro Epasto","Matteo Riondato",1
"Alessandro Panconesi","Erisa Terolli",1
"Alessandro Panconesi","Prabhakar Raghavan",1
"Alex Beutel","Christos Faloutsos",1
"Alex Beutel","Kijung Shin",1
"Alex Beutel","Neil Shah",1
"Alex Deng","Xiaolin Shi",1
"Alex Gittens","Aditya Devarakonda",1
"Alex Gittens","Evan Racah",1
"Alex Gittens","James Demmel",1
"Alex Gittens","Jatin Chhugani",1
"Alex Gittens","Jey Kottalam",1
"Alex Gittens","Jialin Liu 0002",1
"Alex Gittens","Jim Harrell",1
"Alex Gittens","Jiyan Yang",1
"Alex Gittens","Kristyn J. Maschhoff",1
"Alex Gittens","Lisa Gerhardt",1
"Alex Gittens","Michael F. Ringenburg",1
"Alex Gittens","Michael W. Mahoney",1
"Alex Gittens","Prabhat",1
"Alex Gittens","Pramod Sharma",1
"Alex Gittens","Shane Canon",1
"Alex Gittens","Venkat Krishnamurthy",1
"Alex Goodman","Maziyar Boustani",1
"Alex Goodman","Paul M. Ramirez",1
"Alex Goodman","Paul Zimdars",1
"Alex Goodman","Sujen Shah",1
"Alex Poliakov","Hongfeng Yu",1
"Alex Sciuto","Jason I. Hong",1
"Alexander Brodsky 0001","M. Omar Nachawati",1
"Alexander Brodsky 0001","Mohan Krishnamoorthy",1
"Alexander Brodsky 0001","William Z. Bernstein",1
"Alexander C. Shulyak","Lizy K. John",1
"Alexander G. Nikolaev","Shounak Gore",1
"Alexander G. Nikolaev","Venu Govindaraju",1
"Alexander Markowetz","Maria Christoforaki",1
"Alexander Markowetz","Torsten Suel",1
"Alexander Noe","Matthias Stumpp",1
"Alexander Noe","Peter Sanders 0001",1
"Alexander Noe","Sebastian Schlag",1
"Alexander Noe","Tobias Sturm",1
"Alexander Ororbia","Bart Pursel",1
"Alexander Ororbia","C. Lee Giles",1
"Alexander Ororbia","Chen Liang 0001",1
"Alexander Ororbia","Kyle Williams",1
"Alexander Ororbia","Zhaohui Wu 0002",1
"Alexander S. Kotov","Karrie G. Karahalios",1
"Alexander S. Kotov","Pavel A. Izhutov",1
"Alexander S. Kotov","Vassil Mladenov",1
"Alexander Stiemer","Heiko Schuldt",1
"Alexander Stiemer","Ilir Fetai",1
"Alexander Ulanov","Aaron Staple",1
"Alexander Ulanov","Burak Yavuz",1
"Alexander Ulanov","Evan R. Sparks",1
"Alexander Ulanov","Li Pu",1
"Alexander Ulanov","Matei Zaharia",1
"Alexander Ulanov","Shivaram Venkataraman",1
"Alexandra Olteanu","Emre Kiciman",1
"Alexandra Olteanu","Onur Varol",1
"Alexandros Labrinidis","Jack Lange",1
"Alexandros Labrinidis","Panos K. Chrysanthis",1
"Alexandros Ntoulas","Alex Delis",1
"Alexandru Costan","Esther Pacitti",1
"Alexandru Costan","Gabriel Antoniu",1
"Alexandru Costan","Marta Mattoso",1
"Alexandru Costan","Patrick Valduriez",1
"Alexey Borisov","Ilya Markov",1
"Alexey Borisov","Maarten de Rijke",2
"Alexey Borisov","Pavel Serdyukov",2
"Alexey Drutsa","Andrey Khalyavin",1
"Alexey Drutsa","Gleb Gusev",1
"Alexey Drutsa","Pavel Serdyukov",1
"Alexey Poyarkov","Alexey Drutsa",1
"Alexey Poyarkov","Andrey Khalyavin",1
"Alexey Poyarkov","Gleb Gusev",1
"Alexey Poyarkov","Pavel Serdyukov",1
"Alexey Svyatkovskiy","Kosuke Imai",1
"Alexey Svyatkovskiy","Mary Kroeger",1
"Alexey Svyatkovskiy","Yuki Shiraito",1
"Alexis Rodriguez","Arthur W. Toga",1
"Alexis Rodriguez","Carole A. Goble",1
"Alexis Rodriguez","Eric W. Deutsch",1
"Alexis Rodriguez","Ivo D. Dinov",1
"Alexis Rodriguez","Kristi Clark",1
"Alexis Rodriguez","Nathan D. Price 0001",1
"Alexis Rodriguez","Stian Soiland-Reyes",1
"Alexsandro Fonseca","Fatiha Sadat",1
"Alfredo Cuzzocrea","Carlo Mastroianni",1
"Alfredo Cuzzocrea","Giorgio Mario Grasso",1
"Ali Braytee","Daniel R. Catchpoole",1
"Ali Braytee","Paul J. Kennedy",1
"Ali Braytee","Wei Liu 0007",1
"Ali Sekmen","Ahmet Bugra Koku",1
"Ali Sekmen","Akram Aldroubi",1
"Ali Vanderveld","Addhyan Pandey",1
"Ali Vanderveld","Angela Han",1
"Ali Vanderveld","Rajesh Parekh",1
"Alistair Moffat","Anthony Wirth",1
"Alla Rozovskaya","Achla Marathe",1
"Alla Rozovskaya","Andy Doyle",1
"Alla Rozovskaya","Anil Vullikanti",1
"Alla Rozovskaya","Chang-Tien Lu",1
"Alla Rozovskaya","David Mares",1
"Alla Rozovskaya","Dipak K. Gupta",1
"Alla Rozovskaya","Graham Katz",1
"Alla Rozovskaya","Jaime Arredondo",1
"Alla Rozovskaya","Jose Cadena",1
"Alla Rozovskaya","Kristen Maria Summers",1
"Alla Rozovskaya","Liang Zhao 0002",1
"Alla Rozovskaya","Naren Ramakrishnan",1
"Allan Hanbury","Andreas Rauber",1
"Allan Hanbury","Guido Zuccon",1
"Allan N. Zhang","Dazhi Yang",1
"Alok N. Choudhary","Marc De Graef",1
"Alok Singh 0004","Bibi Raju",1
"Alok Singh 0004","Darren J. Kerbyson",1
"Alok Singh 0004","Eric G. Stephan",1
"Alok Singh 0004","Ilkay Altintas",1
"Alok Singh 0004","Kerstin Kleese van Dam",1
"Alok Singh 0004","Malachi Schram",1
"Alok Singh 0004","Matt MacDuff",1
"Alok Singh 0004","Todd Elsethagen",1
"Alon Y. Halevy","Natalya Fridman Noy",1
"Alon Y. Halevy","Steven Euijong Whang",1
"Alon Y. Halevy","Sunita Sarawagi",1
"Alon Y. Halevy","Xiao Yu",1
"Altigran Soares da Silva","Edleno Silva de Moura",1
"Altigran Soares da Silva","Marco Cristo",1
"Altigran Soares da Silva","Pável Calado",1
"Alvin Jude","Eugen Feller",1
"Alvin Jude","Julien Forgeat",1
"Alvin Jude","Nimish Radia",1
"Amaç Herdagdelen","Deepayan Chakrabarti",1
"Amaç Herdagdelen","Sourav Chatterji",1
"Amaç Herdagdelen","Sumit Taank",1
"Aman Gupta","S. Muthukrishnan",1
"Aman Gupta","Smita Wadhwa",1
"Amanda Deering","Chandra Bhat",1
"Amanda Deering","Jackson Archer",1
"Amanda Deering","James Kuhr",1
"Amarjeet Singh 0001","Kamin Whitehouse",1
"Ambuj K. Singh","Ananthram Swami",1
"Ami Hayashi","Hiroki Matsutani",1
"Amidu O. Oloso","Brian Nelson",1
"Amidu O. Oloso","Hongfeng Yu",1
"Amidu O. Oloso","Jian Zhang",1
"Amidu O. Oloso","Kwo-Sen Kuo",1
"Amidu O. Oloso","Thomas L. Clune",1
"Amidu Oloso","Alex Poliakov",1
"Amidu Oloso","Hongfeng Yu",2
"Amidu Oloso","Kwo-Sen Kuo",1
"Amidu Oloso","Paul Brown",1
"Amidu Oloso","Paul G. Brown",1
"Amidu Oloso","Thomas L. Clune",1
"Amin Mantrach","Alejandro Jaimes",1
"Amin Mantrach","Alice H. Oh",1
"Amin Mantrach","Fabrizio Silvestri",1
"Amine Lamine","Majid Alotaibi",1
"Amine Roukh","Carlos Ordonez 0001",1
"Amine Roukh","Ladjel Bellatreche",1
"Amirhossein Aleyasen","Arash Termehchy",1
"Amirhossein Aleyasen","Yizhou Sun",1
"Amit Goyal","Carl A. Gunter",1
"Amit Goyal","Hongbo Deng",1
"Amit Goyal","Jiawei Han 0001",1
"Amit Goyal","Ricardo Baeza-Yates",1
"Amit Goyal","Yi Chang 0001",1
"Amit Gupta","Amanda Deering",1
"Amit Gupta","Chandra Bhat",1
"Amit Gupta","Jackson Archer",1
"Amit Gupta","James Kuhr",1
"Amit Gupta","Kenneth Perrine",1
"Amit Gupta","Natalia Ruiz-Juri",1
"Amit Gupta","Weijia Xu",1
"Amit K. Chopra","Munindar P. Singh",1
"Amit Sharma","Ashton Anderson",1
"Amit Sharma","Dan Cosley",1
"Amit Sharma","Duncan J. Watts",1
"Amit Sharma","Roberto M. Cesar Jr.",1
"Amita Gajewar","Jignesh Parmar",1
"Amita Gajewar","Lizhong Wu",1
"Amita Gajewar","Ramana Yerneni",1
"Amitabh Trehan","Barry McLarnon",1
"Amitabh Trehan","Dimitrios S. Nikolopoulos",1
"Ammar Jabakji","Hasan Dag",1
"Ana Levordashka","Renee Ambros",1
"Ana Levordashka","Sonja Utz",1
"Anahita Davoudi","Mainak Chatterjee",1
"Ananth Grama","Mehmet Koyutürk",1
"Anastasia Giachanou","Fabio Crestani",1
"Anastasia Giachanou","Ida Mele",1
"Anbang Xu","Dan Cosley",1
"Anbang Xu","Haibin Liu",1
"Anbang Xu","Jalal Mahmud",2
"Anbang Xu","Liang Gou",1
"Anbang Xu","Mu Qiao",1
"Anbang Xu","Rama Akkiraju",1
"Anbang Xu","Vibha Sinha",1
"Anbang Xu","Yuheng Hu",1
"Anders Høst-Madsen","Chad Walton",1
"Anders Høst-Madsen","Elyas Sabeti",1
"Anders Høst-Madsen","Su Jun Lim",1
"André Luckow","Bennie Vorster",1
"André Luckow","Edwin Weill",1
"André Luckow","Emil Djerekarov",1
"André Luckow","Matthew Cook 0004",1
"André Luckow","Nathan Ashcraft",1
"Andrea Ferretti","Francesco Gullo",1
"Andrea Ferretti","Gianluca Sabena",1
"Andrea Ferretti","Marcello Paris",1
"Andrea Ferretti","Marco Firrincieli",1
"Andrea Ferretti","Stefano Pascolutti",1
"Andreas Gerstlauer","Lizy K. John",1
"Andreas Hotho","Markus Strohmaier",1
"Andreas Unterweger","Dominik Engel",1
"Andrei Z. Broder","Andrei Z. Broder",2
"Andrei Z. Broder",NA,1
"Andrés Abeliuk","Felipe Maldonado",1
"Andrés Abeliuk","Franco Berbeglia",1
"Andrés Abeliuk","Gerardo Berbeglia",1
"Andrew Cobley","Mark Whitehorn",1
"Andrew Haines","Mounia Lalmas",1
"Andrew Hulbert","Anthony D. Fox",1
"Andrew Hulbert","Christopher N. Eichelberger",1
"Andrew Hulbert","James N. Hughes",1
"Andrew Hulbert","Thomas Kunicki",1
"Andrew Mcleod","Antonio Rosales",1
"Andrew Nash","Arvind Ramanathan",1
"Andrew Piper","Derek Ruths",1
"Andrew Tomkins","Balint Miklos",1
"Andrew Tomkins","Greg Corrado",1
"Andrew Tomkins","László Lukács",1
"Andrew Tomkins","Marina Ganea",1
"Andrew Tomkins","Peter Young",1
"Andrew Tomkins","Vivek Ramavajjala",1
"Andrew Yates","Jonah Joselow",1
"Andrew Yates","Nazli Goharian",2
"Andrew Yates","Ophir Frieder",1
"Andrey Khalyavin","Gleb Gusev",1
"Andrey Khalyavin","Pavel Serdyukov",1
"Andy Doyle","David Mares",1
"Andy Doyle","Dipak K. Gupta",1
"Andy Doyle","Jaime Arredondo",1
"Andy Doyle","Naren Ramakrishnan",1
"Andy Feng","Gavin Owens",1
"Andy Feng","Mihajlo Grbovic",1
"Andy Feng","Nemanja Djuric",1
"Andy Feng","Peter Cnudde",1
"Andy Feng","Vladan Radosavljevic",1
"Andy J. L. Ang","Allan N. Zhang",1
"Aneesh Sharma","Sharad Goel",1
"Angela Han","Rajesh Parekh",1
"Angen Zheng","Alexandros Labrinidis",1
"Angen Zheng","Jack Lange",1
"Angen Zheng","Panos K. Chrysanthis",1
"Aniket Chakrabarti","Srinivasan Parthasarathy 0001",1
"Anil Keshav","Jürgen Hesser",1
"Anil Keshav","Michael Gertz 0001",1
"Anil Keshav","Rainer Stotzka",1
"Anil Vullikanti","Achla Marathe",1
"Anil Vullikanti","Andy Doyle",1
"Anil Vullikanti","David Mares",1
"Anil Vullikanti","Dipak K. Gupta",1
"Anil Vullikanti","Graham Katz",1
"Anil Vullikanti","Jaime Arredondo",1
"Anil Vullikanti","Kristen Maria Summers",1
"Anil Vullikanti","Naren Ramakrishnan",1
"Animesh Mukherjee 0001","Sanjukta Bhowmick",1
"Animesh Nandi","Atri Mandal",1
"Animesh Nandi","Gargi Banerjee Dasgupta",1
"Animesh Nandi","Shubham Atreja",1
"Animesh Nandi","Subhrajit Bhattacharya",1
"Anirban Dasgupta 0001","Ravi Kumar 0001",1
"Anirban Dasgupta 0001","Silvio Lattanzi",1
"Anirban Dasgupta 0001","Tamás Sarlós",1
"Anitha Veeramani","Giuseppe Manai",1
"Anitha Veeramani","Sangaralingam Kajanan",1
"Anitha Veeramani","Shangfeng Hu",1
"Anja Keskinarkaus","Jukka Riekki",1
"Anja Keskinarkaus","Mika Rautiainen",1
"Anja Keskinarkaus","Mikko Pyykkönen",1
"Anjuli Kannan","Andrew Tomkins",1
"Anjuli Kannan","Balint Miklos",1
"Anjuli Kannan","Greg Corrado",1
"Anjuli Kannan","Karol Kurach",1
"Anjuli Kannan","László Lukács",1
"Anjuli Kannan","Marina Ganea",1
"Anjuli Kannan","Peter Young",1
"Anjuli Kannan","Sujith Ravi",1
"Anjuli Kannan","Tobias Kaufmann",1
"Anjuli Kannan","Vivek Ramavajjala",1
"Ankit Agrawal","Alok N. Choudhary",5
"Ankit Agrawal","Marc De Graef",1
"Ankit Agrawal","Nikos Hardavellas",1
"Ankit Agrawal","Wei-keng Liao",1
"Ankit Rai","Elissa M. Redmiles",1
"Ankit Rai","Rayid Ghani",1
"Ankita Mangal","Nishant Kumar 0006",1
"Ankita Patil","Eric J. Shiroma",1
"Ankita Patil","Ketan Patil",1
"Ankita Patil","Mitchell A. Schepps",1
"Ankita Patil","Tamara B. Harris",1
"Ankita Patil","Ting Zhu",1
"Ankur Padia","Konstantinos Kalpakis",1
"Ankur Padia","Tim Finin",1
"Ankush Khandelwal","James Gerber",1
"Ankush Khandelwal","Kimberly Carlson",1
"Ankush Khandelwal","Paul C. West",1
"Ankush Khandelwal","Vipin Kumar",1
"Anlei Dong","Hongyuan Zha",1
"Anlei Dong","Yi Chang 0001",1
"Ann Marie White","Henry A. Kautz",1
"Ann Marie White","Jiebo Luo",1
"Anna Cinzia Squicciarini","Barbara Carminati",1
"Anna Cinzia Squicciarini","Dev Rishi Khare",1
"Anna Cinzia Squicciarini","James Caverlee",1
"Anna Hennig","Abid Hussain",1
"Anna Hennig","Anne-Sofie Amodt",1
"Anna Hennig","Benjamin Flesch",1
"Anna Hennig","Helene Mejer Nygardsmoen",1
"Anna Hennig","Henrik Hernes",1
"Anna Hennig","Peter Arenfeldt Larsen",1
"Anna Hennig","Raghava Rao Mukkamala",1
"Anna Hennig","Ravi Vatrapu",1
"Anna Shtok","Ella Rabinovich",1
"Anna Shtok","Oren Kurland",2
"Anne-Sofie Amodt","Abid Hussain",1
"Anne-Sofie Amodt","Benjamin Flesch",1
"Anne-Sofie Amodt","Helene Mejer Nygardsmoen",1
"Anne-Sofie Amodt","Henrik Hernes",1
"Anne-Sofie Amodt","Peter Arenfeldt Larsen",1
"Anne-Sofie Amodt","Raghava Rao Mukkamala",1
"Anne-Sofie Amodt","Ravi Vatrapu",1
"Anne Groggel","Apu Kapadia",1
"Anne Groggel","Fabio Rojas",1
"Anne Groggel","Peter Lista",1
"Anne Groggel","Srijita Das",1
"Anne Groggel","Yong-Yeol Ahn",1
"Anne M. Denton","David W. Franzen",1
"Anne M. Denton","John Nowatzki",1
"Anne M. Denton","Mostofa Ahsan",1
"Anshuman Sahu","Ravigopal Vennelakanti",1
"Anthony Byrne","Ayse K. Coskun",1
"Anthony Byrne","Canturk Isci",1
"Anthony Byrne","John Knollmeyer",1
"Anthony Byrne","Sastry S. Duri",1
"Anthony Clodfelter","Jimmy W. Voyles",1
"Anthony D. Fox","Christopher N. Eichelberger",1
"Anton Gulenko","Feng Liu",1
"Anton Gulenko","Florian Schmidt 0006",1
"Anton Gulenko","Marcel Wallschläger",1
"Anton Gulenko","Odej Kao",1
"Antonette Shibani","Elizabeth Koh",1
"Antonette Shibani","Kyong Jin Shim",1
"Antonette Shibani","Vivian Lai",1
"Antonia Korba","John D. Garofalakis",1
"Antonio Davoli","Leonardo Maria Millefiori",1
"Antonio Maccioni","Daniel J. Abadi",1
"Antonio Uva 0001","Alessandro Moschitti",1
"Anuj Karpatne","Vipin Kumar",1
"Anupam Joshi","Tim Finin",1
"Ao Yuan","Chunxiao Zhou",1
"Ao Yuan","Minh Huynh",1
"Ao Yuan","Xuan Che",1
"Aparna Oruganti","Abhishek Dubey",1
"Aparna Oruganti","Fangzhou Sun",1
"Aparna Oruganti","Hiba Baroud",1
"Apu Kapadia","Fabio Rojas",1
"Arash Termehchy","Yizhou Sun",1
"Aravind Mohan","Alexander Kotov",1
"Aravind Mohan","Mahdi Ebrahimi",1
"Aravind Mohan","Shiyong Lu",1
"Archana Ganapathi","Yanpei Chen",1
"Arezoo Shirazi","Bistra Dilkina",1
"Arezoo Shirazi","Mengmeng Liu",1
"Arghya Kusum Das","Kisung Lee",1
"Arghya Kusum Das","Richard Platania",1
"Arghya Kusum Das","Seung-Jong Park",1
"Ariel Bar","Bracha Shapira",1
"Ariel Bar","Lior Rokach",1
"Ariel Bar","Moshe Unger",1
"Arijit Khan","Arijit Khan",2
"Arijit Khan",NA,1
"Arindam Banerjee 0001","Bryan L. Matthews",1
"Arindam Banerjee 0001","Nikunj C. Oza",1
"Arindam Paul","Alok N. Choudhary",1
"Arindam Paul","Ankit Agrawal",1
"Arindam Paul","Dipendra Jha",1
"Arindam Paul","Reda Al-Bahrani",1
"Arindam Paul","Wei-keng Liao",1
"Aris Anagnostopoulos","Fabio Petroni",1
"Aris Anagnostopoulos","Mara Sorella",1
"Aristides Gionis","B. Aditya Prakash",1
"Aristides Gionis","Jilles Vreeken",1
"Aritra Ghosh 0001","Dinesh Gaurav",1
"Aritra Ghosh 0001","Rahul Agrawal",1
