2017,"Public Transportation Mode Detection from Cellular Data.",CIKM,"Guanyao Li,Chun-Jie Chen,Sheng-Yun Huang,Ai-Jou Chou,Xiaochuan Gou,Wen-Chih Peng,Chih-Wei Yi"
2017,"A Temporal Attentional Model for Rumor Stance Classification.",CIKM,"Amir Pouran Ben Veyseh,Javid Ebrahimi,Dejing Dou,Daniel Lowd"
2017,"BoostVHT: Boosting Distributed Streaming Decision Trees.",CIKM,"Theodore Vasiloudis,Foteini Beligianni,Gianmarco De Francisci Morales"
2017,"Exploiting User Consuming Behavior for Effective Item Tagging.",CIKM,"Shen Liu,Hongyan Liu"
2017,"Automatic Navbox Generation by Interpretable Clustering over Linked Entities.",CIKM,"Chenhao Xie 0002,Lihan Chen,Jiaqing Liang,Kezun Zhang,Yanghua Xiao,Hanghang Tong,Haixun Wang,Wei Wang 0009"
2017,"Optimizing Email Volume For Sitewide Engagement.",CIKM,"Rupesh Gupta,Guanfeng Liang,Rómer Rosales"
2017,"Detecting Multiple Periods and Periodic Patterns in Event Time Sequences.",CIKM,"Quan Yuan 0001,Jingbo Shang,Xin Cao 0001,Chao Zhang 0014,Xinhe Geng,Jiawei Han 0001"
2017,"Spreadsheet Property Detection With Rule-assisted Active Learning.",CIKM,"Zhe Chen,Sasha Dadiomov,Richard Wesley,Gang Xiao,Daniel Cory,Michael J. Cafarella,Jock D. Mackinlay"
2017,"Efficient Discovery of Ontology Functional Dependencies.",CIKM,"Sridevi Baskaran,Alexander Keller 0003,Fei Chiang,Lukasz Golab,Jaroslaw Szlichta"
2017,"Name Disambiguation in Anonymized Graphs using Network Embedding.",CIKM,"Baichuan Zhang,Mohammad Al Hasan"
2017,"Data Driven Chiller Plant Energy Optimization with Domain Knowledge.",CIKM,"Hoang Dung Vu,Kok-Soon Chai,Bryan Keating,Nurislam Tursynbek,Boyan Xu,Kaige Yang,Xiaoyan Yang,Zhenjie Zhang"
2017,"Attributed Network Embedding for Learning in a Dynamic Environment.",CIKM,"Jundong Li,Harsh Dani,Xia Hu,Jiliang Tang,Yi Chang 0001,Huan Liu 0001"
2017,"Fast Word Recognition for Noise channel-based Models in Scenarios with Noise Specific Domain Knowledge.",CIKM,"Marco Cristo,Raíza Hanada,André Luiz da Costa Carvalho,Fernando Anglada Lores,Maria da Graça Campos Pimentel"
2017,"MIKE: Keyphrase Extraction by Integrating Multidimensional Information.",CIKM,"Yuxiang Zhang,Yaocheng Chang,Xiaoqing Liu,Sujatha Das Gollapalli,Xiaoli Li 0001,Chunjing Xiao"
2017,"A Robust Named-Entity Recognition System Using Syllable Bigram Embedding with Eojeol Prefix Information.",CIKM,"Sunjae Kwon,Youngjoong Ko,Jungyun Seo"
2017,"NeuPL: Attention-based Semantic Matching and Pair-Linking for Entity Disambiguation.",CIKM,"Minh C. Phan,Aixin Sun,Yi Tay,Jialong Han,Chenliang Li"
2017,"Unsupervised Concept Categorization and Extraction from Scientific Document Titles.",CIKM,"Adit Krishnan,Aravind Sankar,Shi Zhi,Jiawei Han 0001"
2017,"Fast K-means for Large Scale Clustering.",CIKM,"Qinghao Hu,Jiaxiang Wu,Lu Bai 0001,Yifan Zhang 0001,Jian Cheng 0001"
